id,all_avg
010093001672,6.5873
010093002167,3.9465
010096000365,4.6162
010096000367,4.6593
010096000368,4.4718
010099000369,9.2081
010099000371,6.1906
010099000372,5.7270
010102000373,5.2469
010102000374,6.9135
010102000375,5.0946
010102000378,4.6896
010102000386,4.6653
010102000396,3.7556
010102000400,6.5653
010102000403,4.2700
010102000413,6.2365
010102000414,3.4182
010102000420,6.3971
010102000440,4.2481
010102000446,4.0392
010102000453,6.4040
010102000458,-9999.0000
010102000459,6.5337
010102001497,2.9264
010102001676,4.8044
010102001679,4.3922
010102002132,6.2864
010105000281,5.6837
010105000388,5.1657
010105000390,6.4380
010105000391,2.7981
010105000392,3.8940
010105000393,5.3590
010108000394,5.4232
010108001614,-9999.0000
010108001767,3.2517
010111000395,2.2363
010111000398,2.0068
010111000401,3.9417
010111000402,3.8902
010111000404,1.5105
010111000405,2.9596
010111000408,4.2411
010111000409,3.1512
010111000814,5.9693
010111001785,2.5148
010114000411,3.2747
010114000412,2.2206
010114000415,4.9904
010114000416,4.6417
010114000418,4.9385
010114000419,4.4623
010114000421,4.2014
010114000422,4.9778
010114000423,3.7846
010114000424,4.1645
010114000425,3.9352
010114001860,5.0471
010114002357,3.9258
010117000081,6.6827
010117000427,2.2974
010117000428,4.6708
010117000430,5.1576
010117000431,4.9253
010117000432,3.7848
010117000433,6.4389
010117000434,2.4918
010117000435,2.4561
010117000436,4.6694
010117000438,2.9773
010117001615,2.7888
010117001728,3.8145
010117001786,5.0323
010120000439,6.2834
010120000441,4.8947
010123000443,8.3298
010123000444,3.9476
010123000447,3.6247
010123000448,3.0808
010123000449,2.6954
010123000450,5.4471
010123000452,6.0005
010123000454,2.7120
010123000456,2.4313
010123001447,4.2555
010123001448,4.4251
010123001449,3.4359
010123001499,8.0209
010123001500,4.5145
010123001817,3.9281
010126000460,3.3030
010126000461,5.6918
010129000102,4.7730
010129000467,-9999.0000
010129000470,3.4353
010129001432,5.7379
010129001451,5.8524
010129001660,4.8033
010129001768,3.2009
010129001769,3.4562
010129001770,-9999.0000
010129002142,4.7458
010129002147,2.9729
010132000473,4.2642
010132000474,6.9326
010132000475,7.6734
010132000477,-9999.0000
010132000478,5.8851
010132000479,5.7338
010132000480,4.7870
010132000481,4.9007
010132001719,5.2157
010135000482,3.4076
010135000485,4.2595
010135000487,7.6191
010135000488,4.8516
010135000489,5.5591
010135001504,4.5723
010135001505,3.6538
010135001506,5.6614
010138000493,4.2451
010138000494,4.0809
010138000496,4.6514
010138000497,4.2699
010138000499,3.6677
010138000500,5.7191
010138000501,4.4533
010138000502,4.7289
010138000503,4.1004
010138000505,6.6728
010138000507,5.7789
010138000508,3.6849
010138000509,4.4620
010138001507,6.2237
010138001508,6.5350
010138001509,4.8288
010141000513,3.8901
010141001510,2.8613
010144000515,2.8087
010144000516,4.2143
010144000517,4.2229
010144000518,3.3524
010144000519,2.3453
010147000521,5.8378
010147000523,5.5636
010147000525,4.7016
010147001512,3.9236
010147001514,3.3233
010153000532,4.2530
010153000534,3.1341
010153000535,2.4648
010153000536,7.0002
010153001664,5.4626
010156000539,2.4026
010156001750,5.6756
010159000541,4.6326
010159000542,4.7687
010159000544,5.8283
010159000545,5.5871
010159000547,3.2163
010159000548,5.4886
010159001861,5.0774
010159001869,5.2353
010162000551,2.1866
010162000552,2.9909
010162000553,5.8376
010162000555,6.1135
010162000559,5.2943
010162000563,3.5313
010162000564,2.0556
010162000565,3.0664
010162001517,2.4450
010162001665,2.5163
010162001666,1.6841
010164000568,4.2780
010164001788,6.5131
010166001771,2.7637
010166001772,5.5150
010166001791,2.9213
010166001792,5.6716
010166001793,3.2499
010166001794,5.9228
010168000578,3.2660
010168001452,-9999.0000
010168001520,3.1087
010169000579,7.4113
010169000580,5.6788
010171000585,-9999.0000
010171000586,-9999.0000
010171000588,6.4728
010171000589,4.7046
010171000592,4.1006
010171001495,-9999.0000
010171001496,-9999.0000
010171001522,-9999.0000
010171001523,3.3296
010171002156,4.9111
010171002158,2.5673
010171002165,3.5095
010172001795,3.9335
010172001885,6.0677
010173000328,5.1529
010173000596,4.0448
010173000597,5.7569
010173000598,6.1072
010173002356,5.7685
010174000600,5.0116
010174000601,-9999.0000
010174000602,2.6025
010174000603,3.4431
010174000605,4.9921
010176000606,6.1178
010176000607,4.4191
010176000609,8.1284
010176000610,5.4496
010177000611,6.3077
010177000612,5.2189
010177000614,5.0952
010177000616,3.8999
010177000617,5.5249
010177001668,3.9010
010177002077,6.7990
010177002078,4.1676
010180000254,1.3840
010180000533,5.4752
010180000618,6.4473
010180000620,5.4904
010180000621,4.2526
010180000622,4.0927
010180000623,1.8293
010180000624,5.7152
010180000626,2.1519
010180000627,3.9735
010180000628,3.4712
010180000630,3.0586
010180000632,7.9963
010180000634,6.4686
010180000635,2.1807
010180000637,3.8927
010180000638,2.0867
010180000639,5.6888
010180000640,2.3562
010180000642,4.7680
010180000643,2.6972
010180000644,2.7724
010180000645,-9999.0000
010180000646,-9999.0000
010180000647,2.0460
010180000649,-9999.0000
010180000650,2.2846
010180000651,5.2209
010180000652,4.1755
010180000653,3.8845
010180001527,3.6325
010180001528,4.4427
010180001529,2.7514
010180001530,6.5783
010180001531,5.5687
010180001652,3.7652
010180001773,5.0424
010180001774,7.6729
010180001796,4.5390
010180002093,8.3364
010180002146,5.3079
010180002172,3.0057
010180002173,5.6100
010180002379,-9999.0000
010183000654,3.3753
010183000655,5.4742
010183000656,4.8477
010183000657,5.8734
010183000658,4.4275
010183000659,4.6018
010183000662,5.0726
010183000663,4.2095
010183000666,5.8914
010183000667,5.1916
010183000668,5.3825
010183000671,4.6806
010183001532,6.2140
010183001533,3.1933
010183001534,5.3090
