id,perrlu
  2147483647,0.0662
  2147483647,0.0529
  2147483647,0.0620
  2147483647,0.0590
  2147483647,0.0424
  2147483647,0.0432
  2147483647,0.0948
  2147483647,0.0778
  2147483647,0.0818
  2147483647,0.0653
  2147483647,0.0933
  2147483647,0.1062
  2147483647,0.0964
  2147483647,0.0983
  2147483647,0.0620
  2147483647,0.1083
  2147483647,0.1008
  2147483647,0.0905
  2147483647,0.0898
  2147483647,0.0550
  2147483647,0.0634
  2147483647,0.0130
  2147483647,0.0466
  2147483647,0.0476
  2147483647,0.0543
  2147483647,0.0572
  2147483647,0.0383
  2147483647,0.0247
  2147483647,0.0468
  2147483647,0.0560
  2147483647,0.0402
  2147483647,0.0454
  2147483647,0.0717
  2147483647,0.0589
  2147483647,0.0427
  2147483647,0.0449
  2147483647,0.0545
  2147483647,0.0701
  2147483647,0.0467
  2147483647,0.0356
  2147483647,0.0618
  2147483647,0.0388
  2147483647,0.0425
  2147483647,0.0266
  2147483647,0.0392
  2147483647,0.0312
  2147483647,0.0370
  2147483647,0.0360
  2147483647,0.0690
  2147483647,0.0887
  2147483647,0.0896
  2147483647,0.0886
  2147483647,0.0855
  2147483647,0.0812
  2147483647,0.0856
  2147483647,0.0492
  2147483647,0.0237
  2147483647,0.0202
  2147483647,0.0181
  2147483647,0.0254
  2147483647,0.0574
  2147483647,0.0499
  2147483647,0.0374
  2147483647,0.0546
  2147483647,0.0531
  2147483647,0.0533
  2147483647,0.0561
  2147483647,0.0514
  2147483647,0.0620
  2147483647,0.0189
  2147483647,0.0549
  2147483647,0.0303
  2147483647,0.0523
  2147483647,0.0405
  2147483647,0.0333
  2147483647,0.0847
  2147483647,0.0582
  2147483647,0.0801
  2147483647,0.0615
  2147483647,0.0662
  2147483647,0.0597
  2147483647,0.0520
  2147483647,0.0685
  2147483647,0.0718
  2147483647,0.0503
  2147483647,0.0437
  2147483647,0.1058
  2147483647,0.1140
  2147483647,0.1141
  2147483647,0.0862
  2147483647,0.1078
  2147483647,0.0988
  2147483647,0.0892
  2147483647,0.0397
  2147483647,0.0256
  2147483647,0.0995
  2147483647,0.0989
  2147483647,0.0515
  2147483647,0.0432
  2147483647,0.0545
  2147483647,0.0558
  2147483647,0.0588
  2147483647,0.0620
  2147483647,0.0566
  2147483647,0.0479
  2147483647,0.0567
  2147483647,0.0558
  2147483647,0.0872
  2147483647,0.0372
  2147483647,0.0390
  2147483647,0.0493
  2147483647,0.0368
  2147483647,0.0421
  2147483647,0.0290
  2147483647,0.0340
  2147483647,0.0306
  2147483647,0.0404
  2147483647,0.0495
  2147483647,0.0296
  2147483647,0.1066
  2147483647,0.0937
  2147483647,0.0936
  2147483647,0.0657
  2147483647,0.0784
  2147483647,0.0779
  2147483647,0.0785
  2147483647,0.0861
  2147483647,0.0603
  2147483647,0.0719
  2147483647,0.0537
  2147483647,0.0565
  2147483647,0.0768
  2147483647,0.0752
  2147483647,0.0703
  2147483647,0.0625
  2147483647,0.0769
  2147483647,0.0839
  2147483647,0.0970
  2147483647,0.1138
  2147483647,0.0461
  2147483647,0.0856
  2147483647,0.1215
  2147483647,0.1019
  2147483647,0.0982
  2147483647,0.0268
  2147483647,0.0725
  2147483647,0.0796
  2147483647,0.1015
  2147483647,0.0445
  2147483647,0.1068
  2147483647,0.0328
  2147483647,0.0526
  2147483647,0.0296
  2147483647,0.0839
  2147483647,0.0498
  2147483647,0.0867
  2147483647,0.0615
  2147483647,0.0800
  2147483647,0.0740
  2147483647,0.0528
  2147483647,0.0761
  2147483647,0.0383
  2147483647,0.0304
  2147483647,0.0667
  2147483647,0.0929
  2147483647,0.0725
  2147483647,0.0709
  2147483647,0.0870
  2147483647,0.0443
  2147483647,0.0682
  2147483647,0.0882
  2147483647,0.0730
  2147483647,0.0779
  2147483647,0.0242
  2147483647,0.0372
  2147483647,0.0226
  2147483647,0.0345
  2147483647,0.0282
  2147483647,0.0431
  2147483647,0.0535
  2147483647,0.0572
  2147483647,0.0177
  2147483647,0.0418
  2147483647,0.0470
  2147483647,0.0251
  2147483647,0.0576
  2147483647,0.0176
  2147483647,0.1074
  2147483647,0.1051
  2147483647,0.0962
  2147483647,0.1093
  2147483647,0.1042
  2147483647,0.1130
  2147483647,0.1058
  2147483647,0.0928
  2147483647,0.0442
  2147483647,0.0416
  2147483647,0.0239
  2147483647,0.0578
  2147483647,0.0426
  2147483647,0.0784
  2147483647,0.0351
  2147483647,0.1115
