id,perfrlu
  2147483647,0.5877
  2147483647,0.4577
  2147483647,0.6242
  2147483647,0.6622
  2147483647,0.6587
  2147483647,0.6373
  2147483647,0.5469
  2147483647,0.8174
  2147483647,0.5761
  2147483647,0.7911
  2147483647,0.6640
  2147483647,0.7178
  2147483647,0.4519
  2147483647,0.6842
  2147483647,0.8095
  2147483647,0.6567
  2147483647,0.5725
  2147483647,0.5669
  2147483647,0.7499
  2147483647,0.8655
  2147483647,0.3642
  2147483647,0.0456
  2147483647,0.1987
  2147483647,0.2046
  2147483647,0.2202
  2147483647,0.2227
  2147483647,0.1701
  2147483647,0.0983
  2147483647,0.2082
  2147483647,0.4547
  2147483647,0.3069
  2147483647,0.2601
  2147483647,0.4143
  2147483647,0.3330
  2147483647,0.1802
  2147483647,0.1934
  2147483647,0.2455
  2147483647,0.2588
  2147483647,0.2021
  2147483647,0.1621
  2147483647,0.3004
  2147483647,0.2085
  2147483647,0.2239
  2147483647,0.1934
  2147483647,0.1804
  2147483647,0.1907
  2147483647,0.1920
  2147483647,0.1819
  2147483647,0.5432
  2147483647,0.5562
  2147483647,0.5390
  2147483647,0.5924
  2147483647,0.4773
  2147483647,0.6818
  2147483647,0.6578
  2147483647,0.5837
  2147483647,0.1051
  2147483647,0.0968
  2147483647,0.0894
  2147483647,0.1052
  2147483647,0.5463
  2147483647,0.4791
  2147483647,0.5925
  2147483647,0.6039
  2147483647,0.5744
  2147483647,0.4775
  2147483647,0.5441
  2147483647,0.5858
  2147483647,0.8140
  2147483647,0.8976
  2147483647,0.6492
  2147483647,0.8823
  2147483647,0.8914
  2147483647,0.8832
  2147483647,0.8647
  2147483647,0.3815
  2147483647,0.3942
  2147483647,0.3419
  2147483647,0.2720
  2147483647,0.5377
  2147483647,0.6989
  2147483647,0.3782
  2147483647,0.4935
  2147483647,0.6751
  2147483647,0.4721
  2147483647,0.4367
  2147483647,0.7807
  2147483647,0.6427
  2147483647,0.7152
  2147483647,0.7937
  2147483647,0.5350
  2147483647,0.5597
  2147483647,0.4306
  2147483647,0.8317
  2147483647,0.8217
  2147483647,0.4222
  2147483647,0.4673
  2147483647,0.4015
  2147483647,0.3184
  2147483647,0.3863
  2147483647,0.4771
  2147483647,0.3795
  2147483647,0.4021
  2147483647,0.4330
  2147483647,0.4376
  2147483647,0.4178
  2147483647,0.3426
  2147483647,0.2392
  2147483647,0.2410
  2147483647,0.2698
  2147483647,0.3261
  2147483647,0.3115
  2147483647,0.2749
  2147483647,0.2942
  2147483647,0.2939
  2147483647,0.2363
  2147483647,0.3183
  2147483647,0.3018
  2147483647,0.3376
  2147483647,0.6599
  2147483647,0.4299
  2147483647,0.4812
  2147483647,0.3314
  2147483647,0.3965
  2147483647,0.4537
  2147483647,0.5114
  2147483647,0.5180
  2147483647,0.3254
  2147483647,0.9127
  2147483647,0.6541
  2147483647,0.4243
  2147483647,0.5170
  2147483647,0.6363
  2147483647,0.3194
  2147483647,0.3688
  2147483647,0.4443
  2147483647,0.4193
  2147483647,0.5474
  2147483647,0.6461
  2147483647,0.2730
  2147483647,0.6361
  2147483647,0.5270
  2147483647,0.5229
  2147483647,0.5224
  2147483647,0.1758
  2147483647,0.4087
  2147483647,0.6748
  2147483647,0.6520
  2147483647,0.2433
  2147483647,0.5660
  2147483647,0.2218
  2147483647,0.2864
  2147483647,0.1347
  2147483647,0.5360
  2147483647,0.2635
  2147483647,0.6257
  2147483647,0.3939
  2147483647,0.7760
  2147483647,0.4507
  2147483647,0.5943
  2147483647,0.4299
  2147483647,0.2565
  2147483647,0.2562
  2147483647,0.6949
  2147483647,0.7183
  2147483647,0.6018
  2147483647,0.7510
  2147483647,0.5912
  2147483647,0.2530
  2147483647,0.4964
  2147483647,0.5218
  2147483647,0.4982
  2147483647,0.6100
  2147483647,0.1428
  2147483647,0.2179
  2147483647,0.1248
  2147483647,0.9108
  2147483647,0.7962
  2147483647,0.9454
  2147483647,0.9345
  2147483647,0.8416
  2147483647,0.9429
  2147483647,0.8486
  2147483647,0.7802
  2147483647,0.8289
  2147483647,0.7803
  2147483647,0.8781
  2147483647,0.6357
  2147483647,0.6789
  2147483647,0.7126
  2147483647,0.6368
  2147483647,0.6361
  2147483647,0.5552
  2147483647,0.6019
  2147483647,0.5790
  2147483647,0.6703
  2147483647,0.7532
  2147483647,0.8892
  2147483647,0.8537
  2147483647,0.8920
  2147483647,0.8642
  2147483647,0.8827
  2147483647,0.5796
  2147483647,0.8883
  2147483647,0.4854
  2147483647,0.8833
  2147483647,0.8666
  2147483647,0.6915
  2147483647,0.8710
  2147483647,0.8043
  2147483647,0.8611
  2147483647,0.8983
  2147483647,0.6670
  2147483647,0.7101
  2147483647,0.9007
  2147483647,0.8693
  2147483647,0.9263
  2147483647,0.8112
  2147483647,0.8495
  2147483647,0.8685
  2147483647,0.8540
  2147483647,0.8278
  2147483647,0.8931
