id,w_avg
13063,-0.9578
13065,-0.4248
13067,1.7842
13069,0.2319
13071,-0.0390
13073,0.9970
13075,-0.1314
13077,0.4029
13079,-0.4047
13081,0.5219
13083,-0.4898
13085,0.1325
13087,0.3342
13089,2.3783
13091,0.0784
13095,0.5492
13097,0.4027
13099,0.6943
13101,-0.0538
13103,0.6864
13105,-0.1557
13107,-0.3619
13109,0.0025
13111,0.0074
13113,1.8169
13115,0.0947
13117,2.1022
13119,0.0124
13121,2.4690
13123,-0.1025
13125,-0.4787
13127,1.1175
13129,0.1882
13131,-0.1234
13133,0.2608
13135,1.9117
13137,0.4470
13139,0.3794
13143,0.0641
13145,0.6048
13147,0.1081
13149,0.2119
13151,0.3126
13153,0.9680
13155,-0.1447
13157,0.8285
13159,-0.3879
13161,0.0695
13163,0.0328
13165,-0.5372
13167,0.1566
13169,0.1953
13171,-0.4890
13173,-0.0313
13175,0.4045
13177,0.4409
13179,0.0664
13181,0.5829
13183,-0.2482
13185,1.0095
13187,0.4128
13189,-0.0073
13191,-0.4900
13195,0.2308
13197,0.0805
13199,-0.9212
13201,-0.3517
13205,-0.1880
13207,0.7005
13209,-0.8066
13211,0.9322
13213,-0.1637
13215,0.4061
13217,-0.0787
13219,1.7747
13221,0.6029
13223,0.2174
13225,-0.3927
13227,0.0617
13229,0.6523
13231,0.0028
13233,-0.4065
13235,-0.0396
13237,0.1729
13241,0.2675
13245,-0.5265
13247,0.5584
13249,0.7388
13251,-0.1042
13253,0.1491
13255,-0.3506
13257,0.6404
13261,-0.6706
13267,-0.2745
13269,-0.3988
13271,-0.0816
13275,0.1943
13277,0.5253
13279,-0.0292
13281,0.2176
13283,-0.2970
13285,0.5262
13287,-0.2563
13289,-1.2752
13291,0.6992
13293,-0.1511
13295,-0.1127
13297,0.5682
13299,0.5884
13303,0.1146
13305,-0.2783
13307,-0.0239
13309,-0.3434
13311,0.2565
13313,-0.0797
13315,-0.0586
13317,-0.0703
13319,-0.2097
13321,-0.2624
15003,0.7323
16001,0.6958
16003,-0.0745
16005,0.7841
16007,0.1126
16009,-0.1051
16011,0.3356
16013,1.5284
16015,0.2425
16017,0.5713
16019,0.6346
16021,-0.0921
16023,0.2232
16027,0.3829
16029,0.2972
16031,0.5362
16035,-0.2910
16037,-0.1679
16039,-0.0778
16041,0.2797
16043,0.1240
16045,0.2423
16047,-0.2350
16049,-0.0154
16051,0.6782
16053,0.2073
16055,0.7757
16057,0.7684
16059,0.1592
16061,-0.1093
16063,-0.0587
16065,1.2186
16067,0.2926
16069,0.2350
16071,0.1472
16073,-0.0527
16075,0.4842
16077,0.2502
16079,-0.3798
16081,-0.1027
16083,0.4026
16085,0.9731
16087,0.6253
17001,-0.2550
17003,-0.9455
17005,0.2267
17007,0.3029
17009,-0.2632
17011,-0.1539
17013,0.5177
17015,0.0889
17017,-0.7448
17019,0.8360
17021,-0.1415
17023,0.0731
17025,-0.3129
17027,0.8662
17029,0.1134
17031,1.5591
17033,-0.3256
17035,-0.0709
17037,0.5890
17039,-0.2821
17041,0.0247
17043,1.8384
17045,-0.0011
17047,-0.1152
17049,0.5170
17051,-0.6469
17053,0.3879
17055,-0.7967
17057,-0.3818
17059,-0.5104
17061,-0.3828
17063,0.7058
17065,-0.2092
17067,-0.2275
17069,-0.8901
17071,-0.2116
17073,0.2135
17075,0.5149
17077,-0.1656
17079,0.2896
17081,-0.4366
17083,0.1751
17085,0.4579
17087,-0.0124
17089,1.3236
17091,0.2324
17093,1.1906
17095,0.0160
17097,1.6476
17099,-0.0490
17101,-0.1001
17103,-0.0601
17105,0.3223
17107,-0.0540
17109,0.2760
17111,0.9835
17113,1.0167
17115,0.2308
17117,0.0563
17119,0.1877
17121,-0.4885
17123,0.4317
17125,-0.1458
17127,0.5546
17129,-0.0511
17131,0.2291
17133,1.1170
17135,-0.2622
17137,0.1703
17139,0.0940
17141,0.5723
17143,0.7798
17145,-0.1966
17147,0.5873
17149,-0.5733
17151,-0.9090
17153,-0.7789
17155,0.1504
17157,-0.4203
17159,-0.1437
17161,-0.0149
17163,0.8980
17165,-0.8824
17167,0.4757
17169,-0.2973
17171,-0.2245
17173,0.4347
17175,0.2487
17177,0.2502
17179,0.4077
17181,-0.4385
17183,-0.5360
17185,-0.1740
17187,-0.3453
17189,0.0192
17191,0.2344
17193,-0.2870
17195,0.3177
17197,0.7610
17199,0.0264
17201,0.2667
17203,0.8428
18001,0.9140
18003,1.0560
18005,0.6905
18007,0.4653
18009,0.4902
18011,1.5395
18013,0.5540
18015,0.7032
18017,0.2555
18019,0.3647
18021,0.4256
18023,0.2547
18025,0.8828
18027,0.7365
18029,0.5772
18031,0.7856
18033,0.4989
18035,0.5246
18037,1.4307
18039,0.6863
18041,0.5177
18043,0.9591
18045,0.1732
18047,0.6734
18049,0.5858
18051,0.6510
18053,0.3510
18055,0.3568
18057,1.9844
18059,0.7833
18061,0.7454
18063,1.6950
18065,0.3924
18067,0.3928
18069,0.7273
18071,0.2771
18073,0.6524
18075,0.8777
18077,0.1434
18079,0.4588
18081,1.0973
18083,0.2450
18085,0.7701
18087,0.5300
18089,0.9048
18091,0.8226
18093,0.0669
18095,0.3004
18097,0.7847
18099,0.7799
18101,0.4970
18103,0.4099
18105,0.9961
18107,0.5923
18109,0.4984
18111,0.4011
18113,0.3073
18115,0.0959
18117,0.4688
18119,0.3500
18121,-0.0259
18123,0.9213
18125,0.3413
18127,1.2283
18129,0.9513
18131,0.7831
18133,0.3095
18135,0.3594
18137,0.7047
18139,0.5429
18141,1.0043
18143,0.0582
18145,0.8897
18147,1.4049
18149,-0.1342
18151,0.5129
18153,0.2506
18155,0.1695
18157,1.0929
18159,0.3908
18161,0.7874
18163,0.2047
18165,-0.0154
18167,0.5008
18169,0.4147
18171,0.6828
18173,1.2198
18175,0.2855
18177,0.3638
18179,0.7455
18181,0.5499
18183,0.5902
19001,0.0222
