id,m_grd
0505850,0.6535
0505970,0.9696
0506060,0.7885
0506090,0.8079
0506120,1.0387
0506150,0.8480
0506210,0.7304
0506240,0.9961
0506270,0.7277
0506330,0.9788
0506360,0.7815
0506420,0.8221
0506540,1.0932
0506630,0.6322
0506690,0.8031
0506840,1.1397
0506870,0.8316
0506900,1.0610
0506930,0.7695
0506990,1.0056
0507110,0.7532
0507170,0.7846
0507230,0.7772
0507290,0.8985
0507320,0.9160
0507350,0.6448
0507380,0.7574
0507530,0.8705
0507560,0.8914
0507620,0.5390
0507680,0.8025
0507740,0.8379
0507770,0.8230
0507840,0.8082
0507860,0.8603
0507890,0.7334
0507920,0.8278
0507990,0.7352
0508040,0.6728
0508130,0.9604
0508240,0.7557
0508280,0.8224
0508340,0.7319
0508400,0.7052
0508610,0.7442
0508640,0.7875
0508670,0.7856
0508700,0.8626
0508730,0.7836
0508940,0.8998
0509000,0.9209
0509060,0.9013
0509190,0.7891
0509240,0.7809
0509330,0.9107
0509360,1.0111
0509390,0.7190
0509420,1.0237
0509480,0.8724
0509540,0.9007
0509570,0.8453
0509600,0.8513
0509630,0.7046
0509720,0.7237
0509750,0.8318
0509840,0.9363
0509990,0.8095
0510170,0.9266
0510200,0.8676
0510260,0.9297
0510320,0.9191
0510380,0.8000
0510440,0.7515
0510560,0.8968
0510680,0.7445
0510950,0.8839
0511010,0.9127
0511070,0.8218
0511130,0.8247
0511220,0.7670
0511340,0.8629
0511370,0.7047
0511610,0.8891
0511700,0.7055
0511730,0.8485
0511760,0.9055
0511820,0.7089
0511850,0.7260
0511880,0.8568
0511970,0.9128
0512000,0.6553
0512060,0.7910
0512090,0.6634
0512210,1.0542
0512450,1.0117
0512480,0.6995
0512510,0.8691
0512520,0.5967
0512540,0.7628
0512570,0.9037
0512660,0.9222
0512960,0.8477
0513080,0.9107
0513110,0.6617
0513230,0.8156
0513350,1.0776
0513380,0.9372
0513410,0.9879
0513530,0.8492
0513680,0.9886
0513930,0.7216
0514010,0.9244
0514020,0.7930
0514040,0.7780
0514140,0.9289
0514400,0.9066
0514430,0.7777
0514490,0.8488
0600001,0.8527
0600006,1.0374
0600013,1.0636
0600014,0.8067
0600015,1.1654
0600016,0.8848
0600017,0.8596
0600019,1.1489
0600020,1.1679
0600022,0.7406
0600025,0.8786
0600026,0.7896
0600027,0.7709
0600028,0.9574
0600029,0.9299
0600032,0.9583
0600033,0.7952
0600034,0.8934
0600035,0.9254
0600036,0.9936
0600037,0.8882
0600038,0.9922
0600039,1.0327
0600040,0.7237
0600043,1.0162
0600044,1.0499
0600045,0.9390
0600046,0.9525
0600047,0.9256
0600048,0.9518
0600049,1.0982
0600051,0.8160
0600052,0.9568
0600060,0.9412
0600061,0.9556
0600062,0.8421
0600063,1.0707
0600064,0.7976
0600065,0.7871
0600067,0.9814
0600068,0.9972
0600069,0.8955
0600116,0.8697
0600153,1.0444
0600158,1.0120
0600159,0.8041
0600160,0.9837
0601332,0.8585
0601339,1.0488
0601409,1.0374
0601410,0.9683
0601415,0.7924
0601418,1.0382
0601620,1.0477
0601680,1.0517
0601710,0.7082
0601770,0.9552
0601860,1.0945
0601950,0.9922
0602100,0.8130
0602160,0.9601
0602220,0.8381
0602310,0.9397
0602430,0.9274
0602450,0.8976
0602610,0.8642
0602730,0.9645
0602760,1.0296
0602850,0.8769
0602970,1.0428
0603000,1.0426
0603060,1.1870
0603180,0.9233
0603270,0.9724
0603300,1.0176
0603420,0.8743
0603480,1.0627
0603600,0.8809
0603630,0.8619
0603690,0.9072
0603840,0.7240
0604020,0.8607
