id,h_grd
0612210,1.1194
0612330,1.0232
0612690,1.0671
0612750,1.2212
0612810,1.0347
0612840,1.0808
0612880,1.0507
0612930,0.9744
0612960,1.0382
0613080,1.2512
0613140,0.9417
0613200,0.9322
0613290,0.9732
0613360,0.7901
0613500,1.1059
0613800,0.9280
0613840,0.7908
0613890,1.0048
0613920,0.8910
0614070,1.0647
0614220,1.0441
0614250,1.0314
0614370,0.9884
0614400,1.0437
0614550,0.8515
0614700,1.0426
0614730,0.9538
0614790,0.9815
0614880,1.0592
0614940,1.1124
0614950,0.8483
0615090,0.9501
0615180,1.0868
0615240,0.9297
0615270,0.9881
0615510,1.0624
0615600,1.1108
0616050,0.9460
0616080,0.9868
0616260,0.9752
0616300,1.0540
0616323,1.0266
0616325,0.9901
0616470,1.1183
0616650,1.0383
0616680,0.9629
0616740,1.1274
0616830,1.0904
0616920,0.8860
0617160,1.1412
0617220,1.0650
0617340,1.0457
0617430,1.2225
0617490,1.1201
0617850,1.1263
0618030,1.0269
0618210,1.1225
0618390,0.7381
0618730,1.1874
0618840,1.1042
0618870,0.9411
0618990,1.0792
0619140,1.1801
0619260,0.9097
0619320,0.9885
0619440,1.0448
0619490,0.9520
0619620,0.9953
0619680,0.9226
0619700,1.1442
0619740,1.1672
0619770,1.1260
0619800,1.0804
0619890,0.9627
0620070,0.8977
0620130,1.0789
0620190,0.8610
0620250,1.1141
0620310,1.0910
0620370,1.1475
0620460,1.0461
0620640,1.0172
0620670,1.0200
0620730,1.0255
0620760,1.2510
0620790,1.0521
0620850,0.9141
0620880,1.0597
0621000,0.9746
0621150,1.0420
0621210,0.9966
0621240,1.0308
0621330,1.0388
0621360,1.1535
0621420,0.9852
0621450,0.9341
0621690,1.1057
0621810,1.0167
0621870,1.2406
0621930,0.9725
0621990,1.1316
0622050,1.1378
0622110,0.9356
0622170,0.8263
0622230,1.0307
0622410,1.0826
0622500,0.9481
0622560,1.0145
0622590,0.9857
0622650,1.1230
0622710,0.8674
0622740,0.9035
0622830,1.1859
0622890,0.8747
0622950,0.8258
0623010,1.0603
0623080,1.0230
0623130,1.0913
0623160,0.8501
0623340,0.8864
0623430,0.9064
0623530,1.0932
0623610,1.1105
0623940,1.1336
0624000,1.2046
0624030,0.8423
0624090,0.8330
0624180,1.0280
0624230,1.0013
0624360,1.1041
0624390,1.0436
0624500,1.1538
0624540,0.9501
0624570,1.2309
0624600,0.9106
0624720,1.2153
0624750,1.1670
0624900,0.9109
0625130,0.9317
0625230,0.9002
0625320,1.0422
0625350,0.8227
0625470,0.9446
0625530,1.0305
0625690,0.9740
0625770,0.9477
0625800,0.9045
0625830,1.0356
0625860,1.1205
0625980,0.9927
0626100,1.0583
0626190,0.9100
0626220,0.8423
0626280,1.1002
0626370,0.8754
0626400,1.0305
0626490,0.8760
0626640,0.9759
0626670,1.0943
0626910,0.8926
0627030,0.9547
0627060,1.0561
0627180,1.1359
0627200,1.0496
0627240,1.0482
0627450,1.0068
0627480,1.1244
0627590,1.1570
0627690,0.8861
0627720,0.9678
0627780,1.0107
0627810,1.0623
0627900,0.9370
0628050,0.8349
0628080,0.8648
0628140,1.0284
0628170,1.1270
0628250,1.0563
0628270,0.9697
0628320,1.1211
0628470,0.9628
0628530,0.9305
0628650,1.0355
0628680,1.3796
0628710,1.1194
0628950,0.6952
0629100,0.9809
0629220,0.8794
0629370,1.0445
0629400,0.5044
0629490,1.0821
0629540,0.9746
0629550,0.8426
0629580,0.9848
0629610,1.1267
0629640,0.8420
0629670,0.9679
0629700,0.9309
0629820,0.8821
0629850,1.0197
0629910,0.8855
0629940,0.6977
0630030,0.8720
0630180,1.0988
0630230,1.0605
0630360,1.1519
0630450,1.1384
0630510,0.9865
0630600,0.8597
0630630,1.0062
0630660,1.0879
0630780,1.0123
0630840,0.9400
0630990,1.0815
0631050,0.8393
0631180,0.9177
0631320,0.9948
0631350,1.0207
0631530,1.0361
0631680,0.9701
0631710,1.0315
0631860,0.7509
0631980,0.8843
0632040,1.0407
0632070,0.9153
0632130,1.0093
0632270,1.1103
0632310,1.1156
0632370,0.8141
0632430,0.9270
0632550,0.8969
0632610,0.7930
0632640,0.9823
0632710,1.0470
0632760,1.0009
0632880,1.1472
0633110,0.9243
0633150,1.0290
0633240,1.0468
0633270,0.8945
0633390,0.8497
0633480,1.0443
0633510,1.1256
0633570,1.0898
0633600,0.9873
0633750,1.0582
0633840,1.0120
0633860,1.0807
0633900,1.0610
0633930,1.1169
0634170,1.0400
0634230,0.7895
0634290,1.2511
0634320,0.9469
0634410,0.9276
0634425,0.9405
0634440,0.9518
0634590,0.8961
0634620,0.9639
