id,h_avg
0606480,-0.6098
0606570,-1.7854
0606720,-3.0120
0606750,-1.1659
0606780,-2.0626
0606810,-1.2340
0606870,-1.5889
0606900,-2.1643
0606990,-1.1501
0607020,-1.3542
0607140,-0.9097
0607200,-1.5436
0607440,-0.9433
0607470,-0.1855
0607500,-0.5741
0607530,0.1356
0607560,-1.1376
0607680,-1.9476
0607740,-1.2111
0607800,-0.2739
0607900,-1.3029
0607950,-0.7893
0607970,-1.3876
0607980,-0.9797
0608070,-0.5074
0608130,-1.3253
0608190,-0.7481
0608250,-1.9115
0608370,-1.7040
0608460,-0.6884
0608520,-2.0160
0608580,-1.8425
0608610,-0.2595
0608760,-0.4055
0608970,-2.2360
0609030,-0.0489
0609070,-2.3936
0609120,-2.3508
0609330,-0.5195
0609390,-1.7474
0609510,0.3886
0609570,-2.1700
0609620,-2.0305
0609640,-1.1327
0609690,-2.2027
0609780,-1.7421
0609850,-0.8679
0609870,0.2815
0609940,-1.7080
0610050,-1.0672
0610260,-0.6018
0610290,-0.9579
0610350,-2.0041
0610440,-0.3898
0610620,-1.0617
0610710,-1.8664
0610740,0.9159
0610770,-1.7365
0610890,-1.8004
0611040,-1.7468
0611110,-1.1628
0611130,-2.5056
0611220,-0.7007
0611280,-1.8985
0611460,-0.9028
0611490,-0.6072
0611520,-1.0091
0611550,-1.7802
0611760,-2.4918
0611820,-3.0216
0611850,-0.4376
0611910,-2.2434
0611940,-1.7992
0612030,-1.4906
0612090,-1.6071
0612180,-1.3160
0612210,-0.1445
0612330,-1.2862
0612690,-1.3705
0612750,-0.4706
0612810,-1.1087
0612840,-1.8195
0612880,-2.0532
0612930,-2.2200
0612960,0.1257
0613080,0.2259
0613140,-1.4471
0613200,-1.8096
0613290,-2.3736
0613360,-1.2999
0613470,-1.7521
0613500,-1.3209
0613800,-2.1279
0613840,-1.3314
0613890,-1.4546
0613920,-1.5898
0614070,-1.9349
0614160,-1.7009
0614220,-0.0942
0614250,-1.4963
0614370,-1.9712
0614400,-1.1016
0614550,-2.0248
0614580,-2.0240
0614700,-0.4673
0614730,-1.1045
0614790,-1.1415
0614880,-1.3374
0614940,-1.9291
0614950,-1.0464
0615000,-1.1118
0615090,-1.7635
0615180,-1.0810
0615240,-0.6425
0615270,-0.0044
0615510,-1.0778
0615600,-2.1635
0615780,-1.8760
0616050,-1.4128
0616080,-2.7140
0616260,-2.7241
0616300,-1.5036
0616323,-2.2356
0616325,-0.8756
0616470,-1.3290
0616650,-1.1364
0616680,-1.2449
0616740,-2.0835
0616830,-0.6972
0616860,-1.7422
0616920,-1.7238
0617040,-0.0357
0617160,-0.4664
0617220,-2.0115
0617340,-1.6688
0617430,-1.5003
0617490,-0.8511
0617850,-2.0535
0618030,-0.2228
0618210,-0.7960
0618390,-1.5778
0618730,-1.4399
0618840,-0.6351
0618870,-1.6405
0618990,-1.7220
0619140,-1.1473
0619260,-1.5052
0619320,-2.4069
0619440,-1.8918
0619490,-1.1328
0619620,-1.5672
0619680,-2.0753
0619700,-1.2900
0619740,-1.7126
0619770,-0.6288
0619800,-0.9168
0619890,-1.5776
0620040,-0.7114
0620070,-2.4092
0620130,1.7754
0620190,-1.7383
0620250,-1.1753
0620310,1.1865
0620370,-0.1646
0620460,-0.6470
0620640,-1.9824
0620670,-1.6524
0620730,-1.5871
0620760,-2.3902
0620790,-1.4400
0620850,-2.0119
0620880,-2.0871
0620910,-0.1036
0621000,0.0724
0621150,-2.0861
0621210,-1.0349
0621240,-2.1560
0621330,-1.3832
0621360,-1.4608
0621420,-1.2633
0621450,-2.2440
0621570,-2.0049
0621690,-1.2361
0621810,-1.6377
0621870,-2.5140
0621930,-0.6118
0621990,-1.7310
0622050,-1.6120
0622110,-1.0744
0622170,-1.7456
0622230,-1.7327
0622380,0.0251
0622410,-1.7762
0622500,-1.2133
0622560,0.2620
0622590,0.8636
0622650,0.2955
0622710,-1.7369
0622740,-1.7723
0622830,0.4349
0622860,-1.0290
0622890,-1.3027
0622950,-1.9346
0623010,-0.0462
0623080,-1.2975
0623130,-1.3087
0623160,-1.9241
0623340,-1.8348
0623430,-1.3444
0623530,-2.0057
0623610,-1.7338
0623760,-1.2584
0623800,-2.0675
0623940,-1.2067
0623970,-1.1225
0624000,-0.9996
0624030,-0.8533
0624090,-1.7499
0624180,0.1011
0624230,-2.0230
0624360,-0.6918
0624390,-1.6072
0624500,-1.3108
0624540,-0.7635
0624570,-0.0385
0624600,-1.9676
0624720,-0.7502
0624750,-1.3150
0624870,0.7397
0624900,-0.5569
0625130,-2.0963
0625230,-2.4170
0625290,-1.3758
0625320,-0.9741
0625350,-1.7637
0625470,-1.8765
0625530,-1.9634
0625690,-1.1479
0625740,1.4420
0625770,-0.9929
0625800,-1.8109
0625830,-1.7174
0625860,-1.2648
0625980,-1.2615
0626100,-1.9997
0626190,-1.8738
0626220,-0.8830
0626280,-1.1933
0626370,-1.7731
0626400,-1.9152
0626490,-1.3768
0626640,-1.7250
0626670,-1.1267
0626910,-1.8416
0626970,-1.9226
0627030,-1.4765
0627060,-1.3164
0627180,-0.0383
0627200,-1.9513
0627240,-1.4826
0627450,-0.4310
0627480,-0.5383
0627590,-2.3095
0627690,-1.2063
0627720,-1.3602
0627780,-1.6028
0627810,-1.6795
0627840,-0.6200
0627850,0.6316
0627900,-1.2431
0627930,-0.7920
0628050,-1.9447
0628080,-1.4317
0628140,-0.9653
0628170,-2.0750
0628250,-1.5152
0628270,-1.5588
0628320,-1.5832
0628470,-1.5751
0628530,-2.7215
0628650,-1.3180
0628680,-2.3830
0628710,-1.1285
0628950,-1.7340
0629100,-1.9172
0629220,-2.1940
0629370,-0.2897
0629400,-1.4010
0629490,-2.2182
0629540,-1.7730
0629550,-1.7082
0629580,-1.7700
0629610,-0.3125
0629640,-2.5581
0629670,-1.1926
0629700,0.6198
0629820,-1.6238
0629850,-1.2310
0629910,-2.6455
0629940,-1.6498
0630030,-1.8522
0630180,-1.6517
0630210,-1.7917
0630230,-1.5375
0630250,-0.9894
0630360,-1.5660
0630450,-1.4410
0630510,-0.5674
0630600,-1.6402
0630630,-2.6355
0630660,-0.7180
0630780,-1.2249
0630840,-1.5785
0630990,-1.1315
0631050,-2.4824
0631170,-1.1318
0631180,-0.8425
0631320,-1.8134
0631350,-0.7139
0631530,-0.2943
0631680,-2.8558
0631710,-1.2302
0631860,-2.0616
0631980,-1.7426
0632040,-1.0760
0632070,-0.8789
0632130,-1.6963
0632270,-2.8172
0632310,-0.1315
0632370,-1.7390
0632430,-2.5144
0632550,-1.9513
0632610,-1.5460
0632640,-0.8216
0632710,-1.7174
0632760,-2.1838
0632880,-0.9413
0633110,-1.3886
0633150,-1.2046
0633240,-1.8674
0633270,-1.6196
0633390,-1.5538
0633480,-1.0402
0633510,-1.0108
0633570,-1.1148
0633600,-0.9539
0633750,-1.3667
0633840,-1.6214
0633860,-0.9612
0633900,-1.3308
0633930,-2.0112
0634170,-1.8683
0634230,-1.1194
0634290,-0.0252
0634320,-1.3610
0634410,-1.9024
0634425,-1.4988
0634440,-1.7854
0634590,-1.7949
0634620,-1.8794
0634680,-2.0137
0634710,-1.8624
0634740,-1.2928
0634800,-1.4535
0634860,1.0180
0634880,-0.7398
0634920,-1.8413
0635010,-1.7225
