id,m_grd
13151,0.8864
13153,0.8425
13155,0.6740
13157,0.8868
13159,0.7969
13161,0.8651
13163,0.9556
13165,0.6515
13167,0.8172
13169,0.9077
13171,0.7318
13173,0.8650
13175,0.8038
13177,0.8747
13179,0.8034
13181,0.8776
13183,0.8049
13185,0.8578
13187,0.8771
13189,0.8369
13191,0.8158
13193,0.8913
13195,0.8667
13197,0.7625
13199,0.7458
13201,0.9651
13205,0.9843
13207,0.8734
13209,0.7509
13211,0.7427
13213,0.7615
13215,0.8887
13217,0.8658
13219,0.8384
13221,1.0105
13223,0.8641
13225,0.9029
13227,0.8700
13229,0.8831
13231,0.8975
13233,0.8369
13235,0.8507
13237,0.7964
13241,0.8570
13243,0.7027
13245,0.7942
13247,0.8049
13249,0.9164
13251,0.8471
13253,0.9217
13255,0.7618
13257,0.8599
13261,0.7817
13263,0.9471
13267,0.9901
13269,0.6838
13271,0.9247
13273,0.6613
13275,0.7629
13277,0.8157
13279,0.7941
13281,1.0216
13283,0.6095
13285,0.8459
13287,0.7886
13289,0.9785
13291,0.8671
13293,0.8112
13295,0.8864
13297,0.8980
13299,0.9303
13301,0.9118
13303,0.7791
13305,0.8799
13309,0.7192
13311,0.8097
13313,0.8718
13315,0.8296
13317,0.8635
13319,1.0627
13321,0.8552
15003,0.9290
16001,1.0323
16005,1.0374
16007,0.9373
16009,1.0459
16011,0.8071
16013,1.0429
16015,0.9059
16017,1.0330
16019,0.9915
16021,0.8597
16027,0.9091
16029,1.0849
16031,0.9003
16035,0.8808
16039,1.0204
16041,1.1092
16043,0.9027
16045,1.0016
16047,0.9126
16049,1.0213
16051,0.9323
16053,0.8807
16055,1.0341
16057,1.0309
16059,0.9239
16061,1.0818
16063,1.1753
16065,0.9048
16067,0.9514
16069,1.0227
16071,1.0568
16073,0.9180
16075,0.8013
16077,0.8392
16079,0.9184
16081,0.9924
16083,0.9457
16085,1.0223
16087,0.8282
17001,0.8142
17003,0.7800
17005,0.9539
17007,0.8848
17009,0.9116
17011,0.8199
17015,0.7195
17017,0.8340
17019,0.7902
17021,0.8258
17023,0.9104
17025,0.7695
17027,0.8709
17029,0.8422
17031,1.0535
17033,0.9623
17035,0.6546
17037,0.8808
17039,0.6773
17041,0.7967
17043,0.9756
17045,0.9029
17047,0.9361
17049,0.8888
17051,0.7847
17053,1.0142
17055,0.7717
17057,0.8026
17059,0.9726
17061,0.9029
17063,0.8620
17065,0.8897
17067,0.8143
17069,0.8185
17071,0.7302
17073,0.9053
17075,0.8534
17077,0.8801
17079,0.8776
17081,0.8759
17083,0.7737
17085,0.9097
17087,0.8601
17089,0.9918
17091,0.8309
17093,0.8684
17095,0.7262
17097,0.9458
17099,0.8708
17101,0.7482
17103,0.8219
17105,0.8207
17107,0.8368
17109,0.8558
17111,1.0093
17113,0.7893
17115,0.7665
17117,0.8834
17119,0.8309
17121,0.8504
17123,0.7704
17125,0.8430
17127,0.8279
17129,0.6962
17131,0.8823
17133,0.9901
17135,0.9865
17137,0.7661
17139,0.7437
17141,0.8163
17143,0.8544
17145,0.8971
17147,0.8542
17149,0.8854
17151,0.8358
17153,0.9022
17155,0.5032
17157,0.8750
17159,0.7556
17161,0.8094
17163,0.8494
17165,0.7994
17167,0.8734
17169,0.7893
17171,0.8133
17173,0.8616
17175,0.8852
17177,0.6963
17179,0.8021
17181,0.9263
17183,0.8473
17185,0.9045
17187,0.8158
17189,0.9294
17191,0.8365
17193,0.8412
17195,0.8431
17197,0.9952
17199,0.8219
17201,0.8987
17203,0.8376
18001,0.9711
18003,0.9360
18005,1.0304
18007,0.8166
18009,1.1230
18011,0.9869
18013,0.9966
18015,0.8293
18017,0.9020
18019,0.8911
18021,0.8425
18023,0.9025
18025,1.0446
18027,0.9164
18029,0.9229
18031,0.8102
18033,0.9484
18035,0.9194
18037,1.0703
18039,1.0792
18041,1.0626
18043,1.0227
