id,p_grd
13151,0.8850
13153,0.8620
13155,0.7160
13157,0.8697
13159,0.8557
13161,0.9508
13163,0.9715
13165,0.7207
13167,0.8689
13169,0.9681
13171,0.7543
13173,0.9243
13175,0.7002
13177,0.8789
13179,0.8510
13181,0.8619
13183,0.8140
13185,0.8732
13187,0.8768
13189,0.8280
13191,0.8655
13193,0.8864
13195,0.8681
13197,0.8228
13199,0.7676
13201,1.0696
13205,1.0478
13207,0.8552
13209,0.8139
13211,0.7328
13213,0.8147
13215,0.8930
13217,0.9161
13219,0.8482
13221,1.0501
13223,0.8916
13225,0.9811
13227,0.8620
13229,0.9073
13231,0.8976
13233,0.9482
13235,0.9002
13237,0.8326
13239,0.8006
13241,0.8651
13243,0.6928
13245,0.8958
13247,0.8555
13249,0.8968
13251,0.8933
13253,1.0164
13255,0.8194
13257,0.9981
13259,0.8899
13261,0.8114
13263,0.9707
13267,1.0672
13269,0.7997
13271,0.9739
13273,0.6916
13275,0.9273
13277,0.9322
13279,0.8713
13281,1.0428
13283,0.6945
13285,0.8482
13287,0.8239
13289,0.9690
13291,0.9085
13293,0.8875
13295,0.9026
13297,0.9232
13299,1.0456
13301,0.9894
13303,0.8303
13305,0.8697
13307,1.1679
13309,0.8102
13311,0.8649
13313,0.8918
13315,0.9228
13317,0.9521
13319,1.0869
13321,0.9345
15003,0.9526
16001,1.0105
16005,0.9873
16007,1.0007
16009,1.0263
16011,0.8256
16013,1.1231
16015,0.8850
16017,0.9941
16019,0.9763
16021,0.9255
16027,0.9252
16029,1.0878
16031,0.8716
16035,0.9557
16039,1.0203
16041,1.0869
16043,0.9370
16045,1.0134
16047,0.9705
16049,1.0103
16051,0.9206
16053,0.8916
16055,0.9696
16057,0.9434
16059,0.8838
16061,1.1101
16063,1.1987
16065,0.8272
16067,1.0098
16069,0.9750
16071,1.0070
16073,0.9223
16075,0.8212
16077,0.8896
16079,0.9787
16081,0.9660
16083,0.9316
16085,1.0662
16087,0.8681
17001,0.8424
17003,0.8436
17005,0.9617
17007,0.9854
17009,1.0309
17011,0.8696
17015,0.8083
17017,0.8712
17019,0.8390
17021,0.8543
17023,0.9384
17025,0.7547
17027,0.8993
17029,0.8477
17031,1.1000
17033,1.0651
17035,0.6645
17037,0.9407
17039,0.6751
17041,0.8623
17043,1.0618
17045,0.9313
17047,0.9269
17049,0.9043
17051,0.8681
17053,1.0220
17055,0.8400
17057,0.8545
17059,1.0067
17061,0.9822
17063,0.9143
17065,0.9191
17067,0.8617
17069,0.8337
17071,0.7461
17073,0.9261
17075,0.9073
17077,0.9228
17079,0.8927
17081,0.9525
17083,0.7965
17085,0.9132
17087,0.8809
17089,1.0712
17091,0.8235
17093,0.9780
17095,0.7511
17097,0.9720
17099,0.9140
17101,0.7671
17103,0.8290
17105,0.8317
17107,0.8509
17109,0.8801
17111,1.1097
17113,0.7912
17115,0.7718
17117,0.9745
17119,0.8399
17121,0.8898
17123,0.8972
17125,0.8941
17127,0.8811
17129,0.7544
17131,0.9835
17133,1.0208
17135,0.9919
17137,0.8071
17139,0.7906
17141,0.8699
17143,0.8547
17145,0.9563
17147,0.8076
17149,0.9500
17151,0.8308
17153,0.7931
17155,0.5695
17157,0.9287
17159,0.8138
17161,0.8687
17163,0.7877
17165,0.8336
17167,0.9308
17169,0.9007
17171,0.7925
17173,0.8765
17175,0.8090
17177,0.7138
17179,0.8536
17181,0.9537
17183,0.8825
17185,0.9038
17187,0.9062
17189,0.9475
17191,0.8790
17193,0.9458
17195,0.8391
17197,1.0573
17199,0.8952
17201,0.9341
17203,0.8511
18001,0.9982
18003,0.9527
18005,0.9914
18007,0.7915
18009,1.1796
18011,0.9581
18013,0.9937
18015,0.8859
18017,0.8949
18019,0.8848
18021,0.8384
18023,0.9596
18025,1.1175
18027,0.8560
18029,0.9442
18031,0.8486
18033,0.9733
18035,0.8830
18037,1.0060
18039,1.0882
18041,1.0430
18043,1.0180
18045,0.9417
18047,0.9712
18049,0.8524
18051,0.9608
18053,0.8761
18055,0.9456
18057,0.9800
18059,0.9803
18061,0.9815
18063,1.0180
18065,0.9082
18067,0.7803
18069,1.0273
18071,0.8406
18073,0.9538
18075,1.0486
18077,0.7011
18079,0.8805
18081,0.9807
18083,0.9101
18085,0.9319
18087,0.9537
18089,0.8252
18091,0.8847
18093,0.8379
18095,0.9006
18097,0.9225
18099,0.8883
18101,0.8714
18103,1.0090
18105,1.0603
18107,0.9539
18109,0.9381
18111,0.8117
18113,0.9381
18115,0.8400
18117,0.8332
18119,0.9689
18121,0.7671
18123,1.0447
18125,0.7787
18127,0.8597
18129,0.9165
18131,0.8319
18133,0.9344
18135,0.8931
18137,1.0007
18139,0.9728
18141,0.9632
18143,1.0613
18145,0.9795
18147,0.9750
18149,0.8342
18151,0.9626
18153,1.0261
18155,0.9879
18157,0.9098
18159,0.7656
18161,0.9872
18163,0.9077
18165,1.0643
18167,0.8600
18169,0.8338
18171,1.0176
18173,0.9917
18175,0.9052
18177,0.9527
18179,0.8716
18181,0.9613
18183,0.9102
19001,0.7960
19005,0.9244
19007,0.9050
19011,0.9635
19013,1.0010
19015,0.8042
19017,0.9838
19019,0.9198
19021,0.8835
19023,0.8498
19025,0.7700
19027,0.9395
19029,0.9616
19031,0.8644
19033,0.9072
19035,0.8936
19037,0.9407
19039,0.8719
19041,0.9502
19043,1.0081
19045,0.8231
19047,0.9771
19049,1.0045
19051,0.8619
19053,0.8813
19055,0.9239
19057,0.7518
19059,0.8155
19061,0.8519
19063,0.7881
19065,0.8835
19067,0.9099
19069,0.9435
19071,0.9771
19073,0.7688
19075,0.9760
19077,0.9902
