id,b_grd
0637950,0.9955
0638010,1.0484
0638220,1.1364
0638670,0.8789
0639420,1.0034
0639630,0.9850
0639870,0.8654
0640150,1.0348
0640590,0.9724
0640740,0.7652
0641040,0.7004
0641160,1.1698
0641190,0.9174
0641580,0.9068
0642000,0.8935
0642120,0.9756
0684500,1.0852
0691135,0.7593
0802340,0.8321
0802910,0.8923
0803060,0.8271
0803360,0.8987
0804080,0.8049
0804530,0.8877
0900060,0.6350
0900070,0.9223
0900330,0.9040
0900450,0.9421
0900510,0.9827
0900700,0.7308
0901020,0.8106
0901260,0.8376
0901470,0.7518
0901530,1.0134
0901710,0.9744
0901770,0.9374
0901860,0.8561
0901920,0.8931
0902310,0.7615
0902400,0.7498
0902490,0.7827
0902520,0.9322
0902640,0.8743
0902670,0.8626
0902790,0.9718
0902820,0.8417
0902880,0.8537
0903090,0.8094
0903120,0.8740
0904170,1.0383
0904320,0.8820
0904440,0.8301
0904620,1.0643
0904680,0.8031
0904830,0.6311
0904920,0.9167
0904950,0.8660
0905220,0.9098
1000080,1.0022
1000170,1.0055
1000180,0.8577
1000190,0.8272
1000200,0.7079
1000230,0.8694
1000680,0.7315
1000790,0.9087
1000810,0.8128
1001080,0.6733
1001240,0.8463
1001300,0.9763
1001530,0.8552
1001620,0.8374
1001850,0.5364
1100030,0.9838
1200060,0.7134
1200090,0.8084
1200120,0.7053
1200180,0.8087
1200240,0.7287
1200270,0.8631
1200300,0.8010
1200330,0.9319
1200360,0.6234
1200390,0.7988
1200420,0.5779
1200480,0.8270
1200510,0.6535
1200540,0.8832
1200600,0.6829
1200690,0.8185
1200720,0.7191
1200750,0.6552
1200780,0.7279
1200810,0.8827
1200840,0.7096
1200870,0.8147
1200930,0.7624
1200960,0.7984
1200990,0.6822
1201050,0.7714
1201080,0.7896
1201110,0.7661
1201140,0.7711
1201200,0.6560
1201230,0.8321
1201260,0.7404
1201290,0.8796
1201320,0.8777
1201350,0.8272
1201410,0.6762
1201440,0.8243
1201470,0.8237
1201500,0.8911
1201530,0.8716
1201560,0.8000
1201590,0.7354
1201620,0.6443
1201650,0.7609
1201680,0.8845
1201710,0.8229
1201740,0.8422
1201770,0.8333
1201800,0.7637
1201830,0.7428
1201860,0.7728
1201890,0.7551
1201920,0.7500
1201950,0.8044
1201980,0.7177
1202010,0.8331
1202012,1.0544
1202014,0.8473
1300001,0.8542
1300060,0.7904
1300090,0.8072
1300120,0.8090
1300150,0.8151
1300180,0.9130
1300210,0.7900
1300290,0.8992
1300330,0.7771
1300360,0.8588
1300390,0.7777
1300420,0.8178
1300440,0.7832
1300540,0.7860
1300570,0.8868
1300600,1.0475
1300630,0.9141
1300660,0.8405
1300690,0.9487
1300750,0.7832
1300780,0.8954
1300810,0.8390
1300840,0.8007
1300870,0.8428
1300900,0.9125
1300930,1.0038
1300990,0.9458
1301020,0.8155
1301080,0.8322
1301110,0.9927
1301170,0.8377
1301200,0.7991
1301230,0.8574
1301260,0.8370
1301290,0.9491
1301350,0.8129
1301380,0.7723
1301410,0.9284
1301470,0.8028
1301500,0.9771
1301530,0.7685
1301560,0.7217
1301620,0.7440
1301680,1.0823
1301710,0.6565
1301740,0.8668
1301770,0.7853
1301800,0.8935
1301830,0.8408
1301860,0.8872
1301870,0.8342
1301890,0.8053
1301920,0.9148
1301980,0.8978
1302010,0.8921
1302040,0.8120
1302070,0.9320
1302130,0.9524
1302190,0.8440
1302220,1.0360
1302250,0.7792
1302280,0.8129
1302310,0.9246
1302400,0.9294
1302460,0.7542
1302490,0.8114
1302520,0.7790
1302550,0.9597
1302610,0.9486
1302640,0.8968
1302700,0.9530
1302730,0.9142
1302820,0.8982
1302880,0.8376
1302910,0.6611
1302940,0.8599
1302970,0.8954
1303000,0.8366
1303030,1.0139
1303060,0.9531
1303090,0.7112
1303120,0.8247
1303150,0.9625
1303210,0.7267
1303240,0.7753
1303270,0.8694
1303300,0.8279
1303330,0.8371
1303360,0.7775
1303390,0.9022
1303450,0.8851
1303480,0.8532
1303510,0.8936
1303540,0.8056
1303570,0.8125
1303600,0.8060
1303630,0.7681
1303660,0.9183
1303690,1.0527
1303720,0.8336
1303750,0.7007
1303780,0.7330
1303870,0.8785
1303930,0.9129
1303960,0.8831
1303990,1.0607
1304020,0.8981
1304050,0.9133
1304080,0.8989
1304140,0.9461
1304170,0.9501
1304200,0.8267
1304220,0.8626
1304260,0.8395
1304290,0.7806
1304350,0.6966
1304380,0.8015
1304410,0.8429
