id,np_coh
01001,-0.0816
01003,-0.0526
01005,0.1532
01007,-0.0039
01009,0.0710
01013,-0.0949
01015,0.0375
01017,0.0585
01019,0.1175
01021,0.0215
01023,-0.1651
01025,-0.0368
01027,0.0873
01029,0.0084
01031,0.0321
01033,0.0173
01037,0.0559
01039,-0.0419
01041,0.1231
01043,-0.0107
01045,0.0786
01047,-0.1245
01049,0.0514
01051,0.0452
01053,-0.0131
01055,-0.0018
01057,-0.0516
01059,-0.2188
01061,0.0492
01065,0.0749
01067,0.0425
01069,0.0805
01071,-0.0614
01073,0.0036
01075,0.0492
01077,0.0214
01079,-0.0085
01081,0.1273
01083,0.0450
01089,0.0576
01091,0.1290
01093,0.0072
01095,-0.1010
01097,-0.1061
01099,-0.0586
01101,-0.0908
01103,-0.0327
01107,0.0230
01109,-0.0094
01111,-0.0000
01113,0.0304
01115,0.0498
01117,0.0416
01121,-0.0249
01123,-0.0953
01125,0.0736
01127,-0.0347
01129,-0.0779
01133,0.0077
02016,0.0034
02020,0.0368
02050,0.0993
02090,0.0424
02110,0.0788
02122,0.0263
02130,0.0440
02150,-0.0694
02170,-0.0035
02185,-0.1146
02188,-0.1285
02220,0.1058
02240,0.0711
02261,-0.0213
02270,0.0595
04001,0.0129
04003,0.1320
04005,0.0809
04007,-0.1311
04009,0.0614
04011,0.0789
04012,-0.0170
04013,0.0667
04015,0.0928
04017,0.0237
04019,0.0814
04021,0.0669
04023,-0.1392
04025,0.0594
04027,-0.0280
05001,0.0337
05003,0.1317
05005,-0.0580
05007,-0.0203
05009,-0.0074
05011,-0.0905
05015,-0.0070
05019,0.0356
05021,-0.0927
05023,-0.0183
05025,-0.0988
05027,0.0369
05029,-0.0196
05031,0.0034
05033,0.0330
05035,-0.1344
05037,-0.0680
05041,-0.1095
05043,-0.0724
05045,-0.0094
05047,-0.0700
05049,0.0187
05051,-0.0449
05053,-0.0294
05055,-0.0589
05057,0.0115
05059,-0.0329
05061,-0.0028
05063,-0.0671
05065,-0.0310
05067,0.0172
05069,0.0533
05071,-0.0963
05075,-0.0928
05079,-0.1874
05081,-0.0457
05083,0.0257
05085,-0.0228
05087,-0.0364
05089,-0.0042
05091,0.0444
05093,0.0669
05097,0.0710
05101,-0.0824
05103,0.0062
05105,0.0839
05109,0.0661
05111,-0.0026
05113,-0.0552
05115,-0.0275
05117,0.0649
05119,-0.0058
05121,-0.0222
05125,0.0118
05127,0.0059
05129,-0.1136
05131,0.0296
05133,0.0118
05135,-0.0382
05137,-0.0514
05139,-0.0669
05141,0.0892
05143,0.0293
05145,-0.0239
05149,-0.1187
06001,0.1357
06005,-0.0113
06007,0.0873
06009,0.0738
06011,0.0582
06013,0.1335
06015,0.0173
06017,0.0506
06019,0.0098
06021,0.0187
06023,0.0468
06025,0.0494
06027,0.0403
06029,0.0602
06031,0.1030
06033,-0.1099
06035,0.0352
06037,0.0758
06039,0.0313
06041,0.0789
06043,0.0287
06045,0.0491
06047,0.0122
06049,0.0279
06051,0.1200
06053,0.0567
06055,0.0361
06057,0.0563
06059,0.1292
06061,0.0724
06063,0.0205
06065,0.0565
06067,0.0365
06069,0.0697
06071,0.0522
06073,0.0974
06075,0.1330
06077,0.0224
06079,0.0676
06081,0.1186
06083,0.0511
06085,0.1264
06087,0.0730
06089,0.0605
06093,0.0262
06095,0.0342
06097,0.0282
06099,0.0114
06101,0.0321
06103,-0.0073
06105,0.1195
06107,0.0199
06109,-0.0256
06111,0.0693
06113,0.0829
06115,0.0776
09001,0.0143
09003,0.0001
09005,-0.0052
09007,0.0260
09009,-0.0214
09011,0.0320
09013,0.0430
09015,0.0395
10001,0.0605
10003,-0.0140
10005,-0.0350
11001,0.4221
12001,0.0500
12003,0.0213
12005,0.0059
12007,0.0306
12009,-0.0158
12011,0.0412
12013,0.0181
12015,-0.0183
12017,0.0624
12019,0.0033
12021,0.1154
12023,0.0533
12027,-0.1604
12031,0.0086
12033,-0.0213
12035,0.0920
12037,-0.0040
12039,0.0349
12041,-0.0639
12043,-0.0391
12045,0.0411
12047,0.0129
12049,-0.0442
12051,-0.0682
12053,0.0540
12055,0.0821
12057,0.0381
12059,-0.0209
12061,0.0393
12063,0.0326
12067,0.0459
12069,0.0454
12071,0.0158
12073,0.0327
12075,-0.0906
12077,0.0275
12079,-0.1233
12081,0.0793
12083,-0.0296
12085,-0.0386
12086,0.0961
12087,-0.0121
12089,0.0783
12091,0.0120
12093,0.1065
12095,0.0314
12097,0.0297
12099,0.0356
12101,0.0740
12103,0.0063
12105,-0.0243
12107,-0.0217
12109,0.0831
12111,0.0198
12113,0.0129
12115,0.0628
12117,0.0257
12119,0.0700
12121,-0.0832
12123,-0.0796
12125,0.0701
12127,0.0544
12129,-0.0004
12131,0.0188
12133,0.0156
13001,-0.0242
13005,0.0906
13009,0.0887
13011,0.0608
13013,0.1170
13015,0.0833
13017,0.1386
13019,0.2791
13021,0.0554
13023,0.1001
13025,0.1092
13029,0.0866
13031,0.1343
13035,-0.0959
13039,0.0864
13043,0.0622
13045,0.0869
13047,0.0952
13049,0.1851
13051,0.1277
13055,0.0840
13057,0.0282
13059,0.1315
13063,0.0619
13065,0.0862
13067,0.0978
13069,0.1135
13071,0.0802
13073,0.1059
13075,0.0691
13077,0.1108
13079,-0.0925
13083,0.0856
13085,0.1262
13087,0.1096
13089,0.1313
13091,0.0776
13095,-0.0848
13097,0.0747
13103,0.0804
13105,-0.0490
13111,0.1253
13113,0.0609
13115,0.0041
13117,0.1270
13119,0.0497
13121,0.1324
13123,0.0848
13127,0.1103
13129,0.0098
13131,0.0204
13135,0.0602
13137,0.0596
13139,0.1012
13143,0.2205
13145,0.1208
13147,0.0643
13149,0.1522
13151,0.0928
13153,0.0227
13155,-0.0228
13157,0.0463
13159,0.0130
13169,0.1089
13171,0.0611
13173,0.0433
13175,0.2199
13177,0.1101
13179,0.0227
13181,0.0223
13183,0.0106
13185,0.0977
13187,0.1215
13189,0.0732
13195,0.1743
13207,0.0746
13211,0.0072
13213,0.1115
13215,0.1715
13217,0.1450
13219,0.0427
13221,0.0910
13223,0.1343
13225,0.1053
13227,-0.0197
13229,0.0725
13231,0.0310
13233,0.2044
13235,0.1150
13237,0.1031
13241,0.1350
13245,-0.0385
13247,0.0445
13249,0.0825
13255,0.1208
13257,0.0130
13269,0.0625
13275,0.0655
13277,0.1176
13279,0.0359
13281,0.0529
13285,0.0658
13291,0.0987
13293,0.1530
13295,0.0913
13297,0.1217
13299,-0.0758
13305,0.0528
13311,0.0225
13313,0.0533
13319,-0.0425
13321,-0.0086
15003,0.0856
16001,0.0472
16005,0.0354
16007,0.0396
16009,-0.1284
16011,-0.0513
16013,-0.0371
16015,0.0989
16017,0.0035
16019,-0.0086
16021,0.0116
16027,0.0243
16029,0.0101
16031,-0.0333
16035,-0.0120
16037,0.0064
16039,0.0322
16041,0.0588
16043,0.0051
16045,0.0128
16047,-0.1101
16049,0.0986
16051,-0.0514
16053,-0.0095
16055,0.0719
16057,0.0781
16059,0.0053
16061,0.0218
16065,0.0280
16067,0.0884
16069,0.0449
16071,0.0098
16073,-0.0464
16075,-0.0135
16077,-0.0656
16079,0.0086
16081,0.1035
16083,0.0123
16085,0.0920
16087,-0.0001
17001,-0.0100
17005,0.0361
17007,0.0087
17009,-0.0204
17011,-0.0263
17015,0.0030
17017,-0.0267
17019,-0.0029
17021,-0.0306
17023,-0.0465
17025,-0.1343
17027,0.0719
17029,-0.0486
17031,0.0887
17033,0.0256
17035,-0.0365
17037,0.0500
17039,-0.1038
17041,-0.0357
17043,0.0617
17045,-0.0036
17047,0.0367
17049,0.0107
17051,-0.0277
17053,0.1183
17055,-0.0101
17057,0.0008
17059,0.0616
17061,-0.0247
17063,0.0268
17065,0.0462
17067,0.0085
17071,-0.0374
17073,0.0108
17075,-0.0067
17077,-0.0543
17079,-0.1005
17081,0.0483
17083,0.0774
17085,0.0274
17087,-0.0273
17089,0.0296
17091,-0.0015
17093,0.0958
17095,-0.0583
17097,0.0364
17099,-0.0073
17101,-0.0245
17103,-0.0106
17105,-0.0350
17107,-0.0027
17109,-0.0742
17111,0.0606
17113,-0.0299
17115,-0.0337
17117,0.0199
17119,0.0207
17121,0.0402
17123,-0.0660
17125,-0.0133
17127,0.0664
17129,0.0247
17131,0.0485
17133,0.0928
17135,0.0486
17137,0.0058
17139,0.0720
17141,0.0342
17143,-0.0664
17145,-0.0236
17147,0.0790
17149,-0.0039
17155,-0.1098
17157,-0.0071
17159,-0.0880
17161,-0.0658
17163,0.0293
17165,-0.0290
17167,-0.0425
17169,-0.0341
17171,0.0833
17173,0.0083
17175,0.0133
17177,-0.0344
17179,0.0326
17181,0.1182
17183,0.0137
17185,-0.0198
17187,0.0590
17189,-0.0283
17191,-0.0654
17193,-0.0113
17195,0.0013
17197,0.0963
17199,-0.0012
17201,-0.0191
17203,0.0113
18001,0.0623
18003,0.0800
18005,0.1895
18007,0.1261
18009,0.1828
18011,0.0746
18013,0.1437
18015,0.0437
18017,0.0313
18019,0.0842
18021,0.1532
18023,0.0438
18025,0.1057
18027,0.1276
18029,0.0908
18031,0.0938
18033,0.0916
18035,0.1761
18037,0.1329
18039,0.1169
18041,0.0852
18043,0.1014
18045,0.1445
18047,0.0917
18049,0.0453
18051,0.0293
18053,0.0844
18055,0.1536
18057,0.0586
18059,0.0939
18061,0.1106
18063,0.1488
18065,0.0998
18067,0.0392
18069,0.0754
18071,0.0755
18073,0.0832
18075,0.1203
18077,0.0057
18079,0.1483
18081,0.1231
18083,0.1309
18085,0.0941
18087,0.0913
18089,0.1083
18091,0.0750
18093,0.0816
18095,0.0891
18097,0.0562
18099,0.1050
18101,0.1085
18103,0.0585
18105,0.1414
18107,0.0836
18109,0.0968
18111,0.0656
18113,0.0756
18115,-0.0178
18117,-0.0005
18119,0.1515
18121,0.0000
18123,0.1667
18125,0.0202
18127,0.0712
18129,0.1417
18131,0.0822
18133,0.1224
18135,0.1446
18137,0.1847
18139,0.1397
18141,0.1361
18143,0.1741
18145,0.1829
18147,0.0926
18149,0.1012
18151,0.1126
18153,0.1259
18155,0.0722
18157,0.1065
18159,0.0926
18161,0.1067
18163,0.1879
18165,0.1669
18167,0.0818
18169,0.0814
18171,0.1791
18173,0.1502
18175,0.1240
18177,0.0837
18179,0.0331
18181,0.1027
18183,0.0646
19001,0.0210
19005,0.0478
19007,0.0426
19009,0.0868
19011,0.1088
19013,0.0671
19015,0.0794
19017,0.0279
19019,0.1200
19021,-0.0093
19023,0.0493
19025,0.0093
19027,0.0421
19029,0.0860
19031,0.0162
19033,0.0828
19035,0.0428
19037,0.0729
19039,0.0957
19041,0.0638
19043,0.0331
19045,0.0704
19047,0.0612
19049,0.0929
19051,-0.0201
19053,0.1199
19055,0.0555
19057,0.0662
19059,-0.0053
19061,0.0074
19063,-0.0360
19065,0.0219
19067,-0.0060
19069,-0.0003
19071,0.0357
19073,0.0221
19075,0.0869
19077,0.1300
19079,0.0799
19081,0.1145
19083,0.0876
19085,0.0267
19087,0.1114
19089,-0.0402
19091,0.1123
19093,0.0414
19095,-0.0135
19097,0.1160
19099,0.1083
19101,0.0415
19103,0.0819
19105,0.0343
19107,0.0982
19109,0.0009
19111,0.0270
19113,0.0236
19115,0.0882
19117,0.0015
19119,-0.0140
19121,0.1189
19123,-0.0231
