id,h_coh
0611850,0.1040
0611910,0.0620
0611940,0.0415
0612030,-0.0091
0612090,0.0831
0612180,0.0428
0612210,0.1255
0612330,0.0800
0612690,-0.0314
0612750,0.1800
0612810,-0.0010
0612840,-0.0224
0612880,0.0857
0612930,-0.0114
0612960,0.0419
0613080,0.2375
0613140,-0.1020
0613200,0.0526
0613290,0.0608
0613360,-0.1052
0613470,0.0054
0613500,0.0960
0613800,0.0073
0613840,-0.0472
0613890,0.0440
0613920,-0.0359
0614070,0.0311
0614220,0.1436
0614250,0.0968
0614370,0.1381
0614400,0.0954
0614550,-0.0167
0614700,0.0590
0614730,0.0056
0614790,-0.0158
0614880,0.0127
0614940,0.1393
0614950,-0.0121
0615090,-0.0058
0615180,0.0843
0615240,0.0023
0615270,0.0626
0615510,0.0972
0615780,-0.0356
0616050,0.0392
0616080,0.1039
0616260,-0.0093
0616300,0.0193
0616323,-0.1229
0616325,0.0418
0616470,0.0820
0616650,0.0072
0616680,0.0106
0616740,0.0558
0616830,0.1849
0616920,-0.0156
0617160,0.1182
0617220,-0.0099
0617340,0.0704
0617430,0.1880
0617490,0.0694
0617850,0.0148
0618030,0.1440
0618210,0.0947
0618390,-0.0197
0618730,0.0511
0618840,0.0674
0618870,0.0572
0619140,0.1023
0619260,-0.0112
0619320,-0.0195
0619440,0.0813
0619490,-0.0449
0619620,0.1177
0619680,0.1010
0619700,0.0659
0619740,0.0518
0619770,0.3051
0619800,0.1201
0619890,-0.0694
0620040,-0.0559
0620070,-0.0382
0620130,0.1173
0620190,-0.0030
0620250,0.0566
0620310,0.1864
0620460,0.0296
0620640,0.0590
0620670,0.0857
0620730,0.0799
0620760,0.0754
0620790,0.1096
0620850,-0.0144
0620880,0.0541
0621000,0.0381
0621150,0.0215
0621210,0.0695
0621240,-0.0006
0621330,0.0796
0621360,0.1606
0621420,0.0302
0621450,0.0541
0621690,0.0448
0621810,0.0436
0621870,0.1456
0621930,0.1180
0621990,0.1835
0622050,0.1329
0622110,0.0655
0622170,0.0343
0622230,0.0651
0622410,0.0971
0622500,-0.0112
0622560,-0.0486
0622590,0.1533
0622650,0.0598
0622710,0.0403
0622740,-0.0202
0622830,0.1167
0622890,-0.0098
0622950,-0.1321
0623010,0.0760
0623080,0.0373
0623130,0.0675
0623160,0.0814
0623340,-0.0668
0623430,0.0587
0623530,0.1398
0623610,0.0590
0623940,-0.0543
0624000,0.1310
0624030,0.0139
0624090,-0.0123
0624180,0.0779
0624230,0.0522
0624360,0.0421
0624390,0.0509
0624500,0.1003
0624540,0.0309
0624570,0.2281
0624600,0.0038
0624720,0.0740
0624750,0.1075
0624900,-0.0178
0625130,-0.0683
0625230,-0.0977
0625320,0.0094
0625350,-0.0402
0625470,-0.0040
0625530,0.0510
0625690,0.0924
0625770,0.0669
0625800,-0.0071
0625830,0.1110
0625860,0.0696
0625980,0.0980
0626100,0.0592
0626190,0.0380
0626220,0.0274
0626280,0.1239
0626370,-0.0113
0626400,0.0437
0626490,0.0148
0626640,0.0023
0626670,-0.0081
0626910,0.0201
0627060,0.0406
0627180,0.0566
0627200,0.1087
0627240,0.1037
0627450,0.1641
0627480,0.0573
0627590,0.0739
0627690,0.0710
0627720,0.0990
0627780,0.0110
0627810,0.0861
0627840,0.1822
0627900,-0.0426
0628050,-0.0702
0628080,-0.0092
0628140,0.0734
0628170,0.0408
0628250,0.0288
0628270,-0.0451
0628320,0.0874
0628470,-0.0233
0628530,-0.0093
0628650,0.0629
0628680,0.2258
0628710,0.0888
0628950,-0.0221
0629100,0.0173
0629220,-0.0767
0629370,0.0806
0629400,-0.2129
0629490,0.0056
0629540,0.0056
0629550,-0.0182
0629580,0.0132
0629610,0.2036
0629640,0.0416
0629670,0.1179
0629700,0.0896
0629820,-0.0186
0629850,0.0420
0629910,0.0065
0629940,-0.0646
0630030,0.0496
0630180,0.0742
0630230,0.1037
0630250,0.1391
0630360,0.1286
0630450,0.0056
0630510,0.0792
0630600,0.0167
0630630,-0.0404
0630660,0.1509
0630780,0.0881
0630840,-0.0236
0630990,0.0910
0631050,-0.1345
0631180,0.1595
0631320,0.0742
0631350,-0.0001
0631530,0.1298
0631680,-0.1177
0631710,0.0289
0631860,-0.0646
0631980,0.0622
0632040,0.0825
0632070,0.0808
0632130,0.0508
0632270,0.0946
0632310,0.1100
0632370,-0.0292
0632430,-0.0553
0632550,-0.0273
0632610,-0.0215
0632640,-0.0473
0632710,0.0250
0632760,0.0481
0632880,0.0923
0633110,0.0366
0633150,0.0568
0633240,0.0576
0633390,-0.0209
0633480,0.1540
0633510,0.0699
0633570,0.0603
0633600,0.0928
0633750,0.0310
0633840,-0.0233
0633860,0.0504
0633900,0.0529
0633930,-0.0212
0634170,0.0566
0634230,-0.0929
0634290,0.1801
0634320,0.0271
0634410,0.0200
0634425,0.0459
0634440,0.0621
0634590,0.0623
0634620,-0.0304
0634680,0.0062
0634710,0.0124
0634740,0.0299
0634800,0.2022
0634880,-0.0143
0634920,0.1347
0635010,0.1318
0635070,-0.1183
0635090,0.0264
0635130,0.0991
0635220,-0.0586
0635250,-0.0137
0635310,-0.0165
0635360,0.0458
0635430,0.0053
0635590,0.0328
0635600,0.1420
0635700,0.1237
0635730,0.1070
0635790,-0.0421
0635810,-0.0409
0635830,0.0138
0635880,0.0683
0635970,0.0815
0636030,0.0602
0636180,0.0793
0636210,0.1397
0636270,-0.0222
0636330,0.0602
0636670,0.0575
0636800,0.0791
0636820,0.1730
0636840,0.0050
0636970,-0.0155
0636990,0.2090
0637050,0.0747
0637110,0.1409
0637140,0.2262
0637200,0.0901
0637290,0.1089
0637380,0.0547
0637500,0.2225
0637530,0.0185
0637560,-0.0342
0637620,0.0830
0637710,-0.0385
0637830,0.0731
0637890,-0.0987
0637950,0.0392
0638010,0.0081
0638130,-0.0355
0638220,0.1927
0638340,0.0528
0638430,0.0035
0638460,0.1237
0638670,-0.0060
0638700,0.1033
0638770,0.1432
0638880,0.0416
0638980,0.0555
0639000,0.0643
0639060,-0.0811
0639300,0.1445
0639420,0.1029
0639600,-0.0822
0639630,0.0548
0639870,-0.0155
0639940,0.1133
0640150,0.0486
0640300,0.0784
0640320,0.1485
0640590,0.0999
0640650,0.0991
0640740,-0.0460
0640980,0.0652
0641040,-0.0953
0641130,0.0954
0641160,0.1097
0641190,-0.0115
0641250,0.0573
0641280,0.0546
0641400,0.0560
0641460,-0.0139
0641580,0.0523
0641790,-0.0164
0641820,0.2191
0641880,-0.0299
0642000,0.0773
0642060,0.1080
0642120,0.0513
0642140,0.0213
0642150,0.1102
0642180,-0.0467
0642210,-0.0048
0642330,0.0098
0642450,0.0440
0642510,0.1254
0642540,-0.0300
0642560,-0.0393
0642710,0.0107
0642810,0.0211
0642930,0.0648
0642960,0.1047
0642990,0.1092
0643080,0.0494
0643170,-0.1470
0643200,-0.0825
0643470,-0.0137
0643560,0.1009
0684500,0.1192
0691012,0.4335
0691021,-0.0913
0691026,-0.1207
0691035,0.1625
0691045,0.0376
0691078,0.2514
