id,f_grd
13153,0.9048
13155,0.8233
13157,0.9678
13159,0.8863
13161,0.9211
13163,0.9564
13165,0.7919
13167,0.9373
13169,0.9826
13171,0.8194
13173,0.8884
13175,0.9055
13177,0.9534
13179,0.8735
13181,0.8752
13183,0.7829
13185,0.9079
13187,0.9670
13189,0.8931
13191,0.8322
13193,0.8902
13195,0.9294
13197,0.8498
13199,0.8077
13201,0.9715
13205,1.0238
13207,0.9647
13209,0.8016
13211,0.8598
13213,0.8844
13215,0.9472
13217,0.9213
13219,0.9717
13221,1.0667
13223,0.9257
13225,0.9691
13227,0.9130
13229,0.9873
13231,0.9240
13233,0.9296
13235,0.8849
13237,0.9056
13241,0.9666
13243,0.6693
13245,0.8415
13247,0.8804
13249,0.9561
13251,0.9530
13253,0.9591
13255,0.8491
13257,0.9868
13261,0.8401
13267,1.0678
13269,0.8366
13271,1.0170
13273,0.7397
13275,0.8377
13277,0.8687
13279,0.8821
13281,1.1060
13283,0.6728
13285,0.9193
13287,0.7933
13289,0.9535
13291,1.0532
13293,0.8535
13295,0.9586
13297,0.9631
13299,1.0008
13301,0.9746
13303,0.8682
13305,0.9020
13309,0.8434
13311,0.9075
13313,0.9293
13315,0.9061
13317,0.9550
13319,1.0770
13321,0.8745
15003,0.9583
16001,1.0723
16005,1.0837
16007,1.0877
16009,1.0081
16011,0.9090
16013,1.1029
16015,0.9749
16017,1.0816
16019,1.0524
16021,1.0381
16027,0.9881
16029,1.1472
16031,0.9290
16035,1.0017
16039,1.0488
16041,1.0744
16043,0.9669
16045,1.0925
16047,0.9887
16049,1.0623
16051,1.0070
16053,0.9641
16055,1.0946
16057,1.1246
16059,0.9712
16061,1.1130
16063,1.1930
16065,0.9446
16067,0.9939
16069,1.1714
16071,1.1265
16073,0.9531
16075,0.8987
16077,0.9249
16079,1.0319
16081,0.9822
16083,1.0268
16085,1.1731
16087,0.9583
17001,0.9500
17003,0.8377
17005,1.1321
17007,0.9909
17009,0.9736
17011,0.8991
17015,0.9151
17017,0.8955
17019,0.8992
17021,0.9598
17023,0.9520
17025,0.7865
17027,0.9778
17029,0.9741
17031,1.1297
17033,1.1212
17035,0.8464
17037,0.9955
17039,0.7954
17041,0.8694
17043,1.0625
17045,1.0126
17047,1.0004
17049,1.0186
17051,0.9263
17053,1.1330
17055,0.8989
17057,0.9474
17059,1.0810
17061,1.0477
17063,0.9659
17065,0.9812
17067,0.9413
17069,0.9304
17071,0.8411
17073,0.9630
17075,0.9944
17077,0.9243
17079,0.9493
17081,1.0381
17083,0.8994
17085,1.0288
17087,1.0038
17089,1.0819
17091,0.9436
17093,0.9796
17095,0.8346
17097,1.0375
17099,0.9585
17101,0.8616
17103,0.9639
17105,0.9590
17107,0.9928
17109,0.9398
17111,1.1192
17113,0.8861
17115,0.8552
17117,1.0210
17119,0.9305
17121,0.9398
17123,0.9970
17125,0.9561
17127,0.9495
17129,0.8199
17131,1.0250
17133,1.0717
17135,1.0817
17137,0.8561
17139,0.9029
17141,0.9391
17143,0.9770
17145,1.0030
17147,0.9644
17149,1.0126
17153,0.8632
17155,0.5920
17157,0.9858
17159,0.8682
17161,0.8966
17163,0.9366
17165,0.8915
17167,0.9682
17169,0.9270
17171,0.8926
17173,0.9700
17175,0.9255
17177,0.8223
17179,0.9415
17181,1.0295
17183,0.9509
17185,0.9665
17187,0.9841
17189,0.9970
17191,0.9218
17193,0.9894
17195,0.9696
17197,1.0949
17199,0.9309
17201,0.9956
17203,0.9369
18001,1.0588
18003,1.0161
18005,1.0970
18007,0.9252
18009,1.1932
18011,1.0492
18013,0.9840
18015,0.9053
18017,0.9734
18019,0.9767
18021,0.9228
18023,0.9900
18025,1.1927
18027,0.9978
18029,0.9942
18031,0.9590
18033,1.0393
18035,1.0155
18037,1.0835
18039,1.1471
18041,1.0866
18043,1.1095
18045,1.0076
18047,1.0382
18049,0.9544
18051,1.0223
18053,0.9566
18055,1.0181
18057,1.0645
18059,1.0403
18061,1.0309
18063,1.0745
18065,0.9815
18067,0.9165
18069,1.1011
18071,0.9441
18073,0.9983
18075,1.1117
18077,0.8729
18079,0.9461
18081,1.0607
18083,0.9762
18085,0.9895
18087,1.0616
18089,0.9250
18091,0.9637
18093,0.9163
18095,0.9572
18097,0.9605
18099,0.9956
18101,0.9963
18103,1.0681
18105,1.1444
18107,1.0019
18109,0.9944
18111,0.8677
18113,1.0071
18115,0.9260
18117,0.8854
18119,1.0601
18121,0.8390
18123,1.1004
18125,0.8932
18127,0.9353
18129,1.0403
18131,0.9205
18133,1.0069
18135,0.9797
18137,1.0556
18139,1.0537
18141,1.0386
18143,1.0417
18145,1.0775
18147,1.0148
18149,0.9605
18151,1.0242
18153,1.0720
18155,1.0282
18157,0.9908
18159,0.8314
18161,1.0629
18163,1.0071
18165,1.1080
18167,0.9326
18169,0.8974
18171,1.1030
18173,1.0786
18175,0.9445
18177,1.0138
18179,0.9587
18181,1.0105
18183,1.0149
19001,0.9228
19005,0.9363
19007,0.9351
19009,1.0395
19011,1.0225
19013,1.0272
19015,0.8688
19017,1.0195
19019,1.0053
19021,0.8776
19023,0.9024
19025,0.9209
19027,1.0340
19029,1.0588
19031,0.9595
19033,1.0063
19035,0.9727
19037,0.9850
19039,0.9644
19041,1.0417
19043,0.9998
19045,0.8861
19047,0.9594
19049,1.0325
19051,0.9617
19053,0.9037
19055,0.9617
19057,0.8498
19059,0.9439
19061,0.9483
19063,0.8578
19065,0.9399
19067,0.9553
19069,0.9655
19071,0.9763
19073,0.8383
19075,1.0526
19077,1.0352
19079,0.9593
19081,1.0351
19083,0.9781
19085,0.8853
19087,0.9448
19089,1.0048
19091,0.9516
19095,0.9301
19097,0.8723
19099,0.9797
19101,0.9469
19103,1.0355
19105,0.9654
19107,1.1256
19109,0.9323
19111,0.8538
19113,0.9666
19115,0.8971
19117,0.8409
19119,0.8657
19121,1.1461
19123,0.8390
19125,0.9874
19127,1.0008
19129,0.9895
19131,0.9242
19133,0.8733
19135,0.9984
19137,0.9298
19139,0.7797
19141,0.9833
19143,1.0006
19145,1.0513
19147,0.8903
19149,1.0780
19151,1.0362
19153,1.0175
19155,0.9434
19157,1.0251
19159,0.9278
19161,1.0285
19163,0.9183
19165,1.0056
19167,0.9592
19169,1.0568
19171,1.0010
19173,1.0332
