id,b_coh
17201,-0.0116
18003,0.0614
18019,0.0282
18035,0.1072
18039,0.1329
18043,0.0084
18053,0.1438
18057,0.0011
18059,-0.0090
18063,0.2102
18067,-0.0795
18081,0.0253
18089,0.0427
18091,0.1057
18095,0.1384
18097,0.0655
18105,0.0926
18127,0.0485
18141,0.0205
18157,0.1087
18163,0.1605
18167,0.0410
19013,0.0552
19033,-0.0855
19045,0.0623
19049,-0.0077
19057,0.0075
19061,-0.0821
19103,-0.0197
19113,-0.0583
19153,0.0451
19155,0.0122
19163,-0.0586
19169,0.0481
19187,-0.1202
19193,0.0464
20045,-0.0140
20061,-0.0800
20091,-0.0339
20103,-0.0520
20125,0.0836
20155,-0.0642
20161,-0.0327
20169,-0.0856
20173,-0.0342
20177,-0.0812
20209,-0.1181
21009,-0.0231
21015,-0.0501
21021,-0.0535
21037,0.0383
21047,-0.0382
21049,0.0224
21059,-0.1140
21067,-0.1297
21073,0.0041
21075,0.0221
21083,-0.0825
21093,-0.0031
21101,-0.0149
21107,0.1050
21111,0.0389
21113,-0.0131
21117,0.0606
21141,0.0523
21145,-0.0072
21151,0.0190
21179,0.0587
21185,0.0273
21209,-0.0120
21211,0.0116
21213,-0.0024
21227,-0.0240
22001,0.0440
22003,-0.0092
22005,0.0850
22007,0.0594
22009,-0.0623
22011,-0.0703
22013,0.0295
22015,0.0199
22017,-0.0002
22019,-0.0175
22021,0.0053
22025,-0.0707
22027,-0.0626
22029,-0.0462
22031,0.0744
22033,0.0717
22035,-0.0827
22037,0.0569
22039,0.0481
22041,0.0947
22043,0.0196
22045,0.0365
22047,0.0664
22049,-0.1017
22051,0.0643
22053,-0.1052
22055,0.0131
22057,0.1205
22059,0.0943
22061,-0.0143
22063,0.0911
22065,-0.0128
22067,-0.1467
22069,0.0459
22071,0.1033
22073,-0.0694
22075,0.0701
22077,0.0183
22079,-0.0352
22081,-0.0930
22083,-0.0893
22085,-0.0508
22087,0.0445
22089,0.1413
22091,0.0611
22093,0.0038
22095,-0.0074
22097,-0.0219
22099,0.0573
22101,0.0271
22103,0.0484
22105,-0.0127
22107,-0.0474
22109,0.0353
22111,0.0004
22113,0.0224
22115,0.0377
