id,p_coh
0503840,0.0178
0503960,-0.0002
0504020,-0.0960
0504050,-0.0369
0504080,0.0855
0504110,0.0970
0504170,-0.1298
0504200,-0.0409
0504350,0.1003
0504370,-0.0598
0504380,-0.1361
0504410,0.1611
0504560,0.0049
0504590,-0.0562
0504680,0.0182
0504740,0.0543
0504800,0.1018
0504860,-0.0858
0504890,-0.0650
0504930,-0.0402
0504980,-0.0436
0505170,0.0198
0505190,0.2533
0505340,-0.0083
0505410,-0.0440
0505430,0.0616
0505470,-0.0901
0505500,0.0052
0505550,0.0988
0505580,0.0129
0505680,-0.0794
0505760,-0.0019
0505850,0.0439
0505970,-0.0534
0506060,-0.0174
0506090,-0.0578
0506120,0.0495
0506150,-0.0778
0506210,0.0572
0506240,0.0656
0506270,-0.0093
0506330,0.0811
0506360,0.0726
0506420,0.0960
0506540,0.0580
0506630,0.0602
0506690,0.1141
0506840,0.0698
0506870,-0.0306
0506900,0.0555
0506930,0.0189
0506990,0.0008
0507110,-0.0790
0507140,0.0114
0507170,0.0810
0507230,-0.0438
0507290,-0.0047
0507320,0.1131
0507350,-0.0170
0507380,0.0017
0507530,0.0611
0507560,-0.0109
0507620,-0.1183
0507680,-0.0306
0507710,0.0100
0507740,0.0042
0507770,-0.0117
0507840,-0.0412
0507860,0.0130
0507890,0.0915
0507920,-0.0927
0507990,0.0029
0508010,0.0879
0508040,-0.0858
0508130,-0.0119
0508240,-0.0390
0508280,-0.0200
0508340,-0.1080
0508400,-0.1074
0508490,-0.0029
0508610,-0.0829
0508640,0.0148
0508670,-0.0850
0508700,0.0127
0508730,-0.0039
0508940,0.0826
0509000,0.0959
0509060,-0.0923
0509150,-0.0014
0509190,0.0913
0509240,-0.1273
0509270,0.0978
0509330,0.0355
0509360,0.0321
0509390,-0.0809
0509420,0.0481
0509480,-0.0364
0509510,0.0654
0509540,0.1005
0509570,-0.0159
0509600,0.0964
0509630,0.0540
0509720,-0.0534
0509750,-0.0390
0509780,-0.0271
0509840,-0.0471
0509990,-0.0343
0510080,-0.0014
0510170,0.0533
0510200,-0.0356
0510260,-0.0682
0510290,0.1912
0510320,-0.0096
0510380,0.0694
0510410,0.0993
0510440,-0.0578
0510560,0.1082
0510680,-0.0274
0510920,0.0604
0510950,0.0794
0510980,0.0654
0511010,-0.0698
0511070,0.0644
0511130,-0.0903
0511220,-0.1210
0511340,-0.0282
0511370,-0.0274
0511610,-0.0938
0511700,0.0008
0511730,0.0142
0511760,-0.0930
0511820,0.0666
0511850,0.0331
0511880,-0.0140
0511970,0.0146
0512000,-0.0543
0512060,-0.0436
0512090,0.0932
0512210,-0.0438
0512420,0.0165
0512450,0.0113
0512480,-0.0994
0512510,0.1274
0512520,-0.0820
0512540,-0.0559
0512570,0.0314
0512630,0.0370
0512660,0.0681
0512930,0.0398
0512960,0.0827
0513080,-0.0139
0513110,0.0461
0513230,-0.0413
0513350,-0.1164
0513380,-0.0067
0513410,0.0177
0513530,-0.0863
0513560,-0.0047
0513680,0.0669
0513930,-0.0484
0514010,-0.0363
0514020,-0.1990
0514040,-0.1151
0514140,0.0709
0514430,-0.0139
0514490,0.0004
0600001,0.0100
0600006,0.0362
0600013,0.0959
0600014,-0.0432
0600015,0.0536
0600016,0.0311
0600017,-0.0181
0600019,0.1416
0600020,0.1522
0600022,-0.0387
0600026,-0.0120
0600027,-0.0656
0600028,0.0655
0600029,0.0743
0600032,0.0594
0600033,-0.0572
0600034,-0.0602
0600035,-0.0766
0600036,0.0284
0600039,-0.0084
0600040,-0.0682
0600043,-0.0076
0600044,0.1075
0600045,0.0080
0600046,0.0793
0600047,0.0122
0600048,0.0020
0600049,0.1662
0600051,0.0711
0600052,-0.0161
0600060,0.0461
0600061,-0.0038
0600062,-0.0597
0600063,0.0164
0600064,-0.0572
0600065,0.0070
0600067,0.0291
0600068,0.0175
0600069,0.0305
0600116,0.0301
0600153,0.0545
0600158,0.0159
0600159,-0.0083
0600160,-0.0006
0601331,0.0711
0601332,-0.0130
0601339,0.0053
0601409,-0.0156
0601415,-0.0059
0601620,0.1562
0601710,-0.1405
0601770,0.0809
0601860,0.1648
0601950,0.0309
0602010,-0.0081
0602100,-0.0598
0602160,0.0337
0602220,-0.0248
0602310,0.0419
0602360,-0.0035
0602430,0.0120
0602450,-0.0072
0602610,-0.0506
0602730,0.0594
0602760,0.1340
0602850,0.0094
0602970,0.0569
0603000,0.0727
0603060,0.2195
0603090,0.1111
0603180,-0.0024
0603270,0.0405
0603300,0.0740
0603420,0.0703
0603480,-0.0117
0603600,0.0679
0603630,0.0231
0603690,-0.0008
0603750,0.0075
0603840,-0.0690
0603870,0.1490
0604020,-0.0676
0604080,0.0049
0604110,0.0647
0604200,0.0790
0604230,-0.0521
0604260,0.0780
0604290,0.0155
0604350,0.0126
0604380,0.0064
0604440,0.0302
0604530,0.1871
0604620,0.0434
0604650,0.0446
0604740,0.0737
0604800,0.1150
0605040,-0.0219
0605240,-0.0612
0605580,0.0178
0605610,0.0726
0605670,0.1982
0605700,0.1125
0605790,0.0570
0605880,0.0284
0605910,0.1045
0606030,0.0728
0606090,0.1291
0606270,0.0155
0606330,0.1625
0606360,-0.0397
0606390,0.0414
0606450,0.0673
0606480,0.1805
0606570,-0.0008
0606720,0.0266
0606750,0.1115
0606780,0.0155
0606810,0.0658
0606870,0.0332
0606900,-0.0652
0606990,-0.0537
0607020,0.1083
0607140,-0.0237
0607170,-0.0981
0607200,0.0225
0607440,0.0700
0607500,0.1281
0607530,0.1365
0607560,0.0487
0607680,-0.0282
0607740,0.1053
0607800,0.0759
0607900,0.0224
0607950,0.0538
0607970,-0.0129
0607980,0.0543
0608070,0.0953
0608130,0.0124
0608190,0.0475
0608250,0.0958
0608370,0.0894
0608460,0.0853
0608520,-0.0192
0608580,0.2385
0608610,0.0972
0608760,0.0986
0608970,0.1088
0609030,0.0567
0609070,-0.0653
0609120,-0.0025
0609390,0.0240
0609450,0.0882
0609480,0.0195
0609570,0.1360
0609620,0.0727
0609640,0.0602
0609690,-0.0752
0609780,-0.0554
0609850,0.0687
0609940,0.0567
0609990,-0.0274
0610050,0.1226
0610260,0.0716
0610290,0.0605
0610320,-0.1032
0610350,0.0211
0610380,-0.0235
0610440,0.1282
0610620,0.0579
0610740,0.1677
