id,f_coh
13129,0.0314
13131,-0.0260
13133,0.1567
13135,0.0428
13137,0.0469
13139,0.0317
13141,-0.0574
13143,0.0570
13145,0.0755
13147,0.0048
13149,0.1301
13151,0.0266
13153,-0.0237
13155,-0.0060
13157,0.0260
13159,0.0104
13161,-0.0588
13163,-0.1000
13165,-0.0262
13167,-0.0235
13169,0.0799
13171,0.0174
13173,-0.0591
13175,0.0019
13177,0.1044
13179,0.0101
13181,-0.0144
13183,-0.0139
13185,0.0365
13187,0.1085
13189,0.0215
13191,0.0248
13193,-0.0595
13195,0.1248
13197,0.0614
13199,-0.0592
13201,-0.0699
13205,0.0039
13207,0.0557
13209,-0.1098
13211,-0.0303
13213,-0.0014
13215,0.0271
13217,0.0694
13219,0.0471
13221,0.0591
13223,0.0879
13225,0.0377
13227,-0.0610
13229,0.0423
13231,0.0130
13233,-0.0144
13235,0.0513
13237,0.0395
13241,0.0681
13243,-0.0937
13245,-0.0189
13247,0.0195
13249,0.0889
13251,-0.0304
13253,0.0313
13255,0.0271
13257,-0.0611
13261,-0.0496
13267,0.0861
13269,0.0530
13271,0.0595
13273,-0.0555
13275,-0.0030
13277,-0.0295
13279,-0.0194
13281,0.0120
13283,0.0366
13285,0.0182
13287,-0.0027
13289,0.0598
13291,0.1200
13293,0.0203
13295,0.0270
13297,0.0783
13299,0.0890
13301,0.0103
13303,-0.0358
13305,0.0738
13309,0.0922
13311,0.0280
13313,0.0138
13315,0.0427
13317,0.0611
13319,0.0188
13321,-0.0333
15003,0.0370
16001,0.0594
16005,0.0420
16007,0.0098
16009,-0.0585
16011,-0.0225
16013,0.0025
16015,0.0255
16017,0.0220
16019,-0.0092
16021,0.0318
16027,0.0081
16029,-0.0103
16031,-0.0224
16035,0.0236
16037,-0.1001
16039,0.0142
16041,0.0515
16043,0.0215
16045,-0.0357
16047,-0.0634
16049,0.0626
16051,-0.0078
16053,-0.0855
16055,0.0819
16057,0.0732
16059,-0.0487
16061,0.0012
16063,0.1697
16065,0.0077
16067,0.0422
16069,0.0266
16071,-0.0338
16073,-0.0653
16075,-0.0167
16077,-0.0194
16079,0.0655
16081,0.0428
16083,0.0009
16085,0.0707
16087,0.0437
17001,-0.0325
17003,-0.0308
17005,0.0416
17007,-0.0076
17009,0.0059
17011,-0.0304
17015,0.0244
17017,-0.0737
17019,-0.0522
17021,-0.0383
17023,-0.0295
17025,-0.1337
17027,0.0608
17029,-0.0741
17031,0.0945
17033,0.0665
17035,-0.0565
17037,0.0295
17039,-0.1097
17041,-0.0602
17043,0.0473
17045,0.0047
17047,-0.0499
17049,0.0172
17051,-0.0094
17053,0.1019
17055,-0.0089
17057,0.0028
17059,0.0600
17061,-0.0033
17063,0.0299
17065,0.0730
17067,0.0058
17069,-0.0027
17071,-0.0894
17073,-0.0120
17075,0.0132
17077,-0.0389
17079,-0.1250
17081,0.0476
17083,0.0601
17085,0.0128
17087,-0.0645
17089,0.0270
17091,-0.0208
17093,0.1026
17095,-0.0837
17097,0.0407
17099,-0.0182
17101,-0.0592
17103,-0.0171
17105,-0.0280
17107,-0.0460
17109,-0.0713
17111,0.0564
17113,-0.0383
17115,-0.0548
17117,0.0258
17119,0.0051
17121,0.0035
17123,-0.0092
17125,-0.0503
17127,0.0597
17129,-0.0100
17131,0.0427
17133,0.1189
17135,0.0045
17137,-0.0431
17139,0.0268
17141,0.0019
17143,-0.0404
17145,0.0143
17147,0.0757
17149,-0.0049
17151,0.0444
17153,0.0113
17155,-0.1092
17157,0.0249
17159,-0.1131
17161,-0.0639
17163,-0.0166
17165,-0.0172
17167,-0.0090
17169,-0.0380
17171,0.0141
17173,0.0041
17175,0.0272
17177,-0.0819
17179,0.0259
17181,0.0629
17183,0.0087
17185,-0.0429
17187,0.0249
17189,-0.0264
17191,-0.0727
17193,-0.0140
17195,-0.0163
17197,0.0701
17199,-0.0019
17201,0.0382
17203,0.0090
18001,0.0370
18003,0.0928
18005,0.1458
18007,0.0851
18009,0.1549
18011,0.0823
18013,0.0840
18015,0.0604
18017,0.0569
18019,0.1068
18021,0.1321
18023,0.0218
18025,0.1706
18027,0.0646
18029,0.0826
18031,0.0789
18033,0.0677
18035,0.1313
18037,0.1052
18039,0.1201
18041,0.0560
18043,0.0855
18045,0.0871
18047,0.0607
18049,-0.0041
18051,0.0409
18053,0.0536
18055,0.1070
18057,0.0540
18059,0.0754
18061,0.1187
18063,0.1454
18065,0.0559
18067,-0.0105
18069,0.0559
18071,0.0236
18073,0.0741
18075,0.1088
18077,-0.0060
18079,0.1231
18081,0.1154
18083,0.1396
18085,0.0897
18087,0.0759
18089,0.0775
18091,0.0690
18093,0.0502
18095,0.0991
18097,0.0307
18099,0.0808
18101,0.1114
18103,0.0468
18105,0.1136
18107,0.0346
18109,0.0752
18111,0.0256
18113,0.0784
18115,-0.0319
18117,-0.0236
18119,0.1002
18121,0.0239
18123,0.1609
18125,-0.0059
18127,0.0543
18129,0.0997
18131,0.0605
18133,0.0869
18135,0.0928
18137,0.1533
18139,0.1082
18141,0.0646
18143,0.1194
18145,0.1526
18147,0.0510
18149,0.0624
18151,0.1181
18153,0.1206
18155,0.0260
18157,0.0909
18159,0.0498
18161,0.0965
18163,0.1427
18165,0.1321
18167,0.0615
18169,0.0710
18171,0.1340
18173,0.1447
18175,0.0816
18177,0.0699
18179,0.0214
18181,0.0996
18183,0.0724
19001,0.0016
19005,-0.0312
19007,0.0539
19009,0.0162
19011,0.0993
19013,0.0598
19015,0.0506
19017,0.0341
19019,0.1257
19021,0.0253
19023,0.0268
19025,0.0138
19027,0.0531
19029,0.0764
19031,-0.0146
19033,0.0508
19035,0.0429
19037,0.0080
19039,0.0400
19041,0.0696
19043,0.0620
19045,0.0843
19047,0.0379
19049,0.0923
19051,-0.0436
19053,0.0141
19055,0.0736
19057,0.0262
19059,-0.0147
19061,-0.0147
19063,-0.0622
19065,0.0191
19067,-0.0612
19069,-0.0053
19071,0.0422
19073,-0.0614
19075,0.0435
19077,0.1401
19079,0.0130
19081,0.0936
19083,0.0455
19085,0.0459
19087,0.0738
19089,-0.0668
19091,0.0546
19093,0.0352
19095,-0.0152
