id,h_coh
20091,-0.0081
20093,-0.0318
20103,0.0727
20111,0.0245
20125,0.0343
20155,-0.0167
20159,-0.1071
20161,0.0122
20169,-0.0488
20173,0.0184
20175,0.0253
20177,0.0160
20189,-0.1537
20209,-0.0712
21015,-0.0242
21017,-0.0828
21047,-0.0457
21059,-0.0541
21067,-0.1044
21083,-0.0996
21093,0.1084
21111,0.0321
21117,0.0763
21151,-0.0744
21185,0.0405
21209,-0.0378
21211,-0.0152
21227,-0.0333
21239,-0.0087
22005,0.1357
22015,0.0978
22017,-0.0030
22019,0.0251
22033,0.0257
22045,0.1165
22051,0.0057
22055,-0.0558
22057,0.0769
22063,0.0728
22071,-0.0493
22073,0.0055
22075,0.0597
22079,-0.0702
22087,0.0008
22089,0.0547
22101,0.0473
22103,0.0033
22105,-0.0010
22109,-0.0010
22115,0.0950
23005,0.0845
23031,0.0240
24003,-0.0436
24005,-0.0888
24009,-0.0635
24011,-0.0558
24013,0.0219
24015,-0.0288
24017,-0.0490
24021,0.0421
24025,0.0766
24027,-0.0078
24031,-0.0458
24033,-0.0727
24037,-0.0874
24041,0.0029
24043,-0.0817
24045,-0.0290
24047,-0.0815
24510,-0.2343
25001,-0.0618
25003,-0.0019
25005,0.0375
25009,0.0765
25011,0.0106
25013,0.0951
25015,0.0191
25017,0.0268
25021,0.0193
25023,-0.0035
25025,0.0304
25027,0.0273
26005,0.0244
26015,0.0396
26017,0.0732
26021,0.0008
26023,0.1401
26025,0.0130
26027,0.0428
26037,0.0089
26045,0.0567
26049,-0.0053
26055,0.0294
26057,-0.0867
26065,-0.0040
26067,0.1489
26075,0.0072
26077,0.1058
26081,0.0226
26087,0.0399
26091,0.0620
26093,0.0240
26099,0.0369
26105,-0.0692
26111,0.0845
26115,0.0565
26117,-0.0281
26121,0.0382
26123,-0.0013
26125,0.0509
26127,0.0276
26139,0.0981
26145,0.0147
26147,0.1079
26149,0.0889
26155,0.0360
26157,0.0462
26159,0.0577
26161,0.0073
26163,0.0187
27003,-0.0145
27013,0.1006
27019,0.0680
27027,0.0442
27037,-0.0120
27039,-0.0252
27047,0.0124
27049,0.0431
27053,0.0407
27067,0.1831
27079,0.0239
27083,0.0817
27085,0.0783
27099,-0.0054
27105,0.0749
27109,-0.1071
27111,0.0135
27119,-0.0228
27123,-0.0666
27129,0.0150
27131,0.0474
27137,0.0483
27139,0.1256
27141,0.1738
27143,-0.0350
27145,0.0759
27147,-0.0033
27153,-0.0183
27163,0.0269
27165,0.1326
27171,0.0891
28033,0.0567
28047,-0.0678
28049,-0.0203
28059,0.1262
28067,-0.0116
28081,0.2180
28089,-0.0884
28115,0.0550
28121,0.0248
28123,-0.0182
29009,-0.0328
29019,-0.0724
29021,-0.0643
29037,-0.0164
29043,0.0596
29047,0.0443
29051,-0.0869
29069,-0.0992
29077,-0.0430
29095,0.0085
29097,-0.0369
29099,-0.0056
29101,0.0080
29109,-0.0292
29119,-0.0254
29145,-0.0603
29159,0.0962
29165,0.0015
29169,0.0141
29183,0.1207
29189,0.0411
29195,0.0597
29213,-0.0354
29510,0.0404
30013,-0.0187
30029,0.0565
30031,0.0538
30063,0.0359
30111,-0.0374
31001,0.1258
31019,0.0360
31037,0.2364
31043,0.2213
31047,0.1192
31053,-0.0049
31055,0.1131
31079,0.0370
31109,0.0525
31111,0.1135
31119,0.1197
31141,0.1402
31151,0.2103
31153,0.1349
31157,0.0861
32001,0.0415
32003,0.0400
32005,0.0607
32007,0.0387
32013,-0.0038
32015,-0.0051
32019,0.0492
32023,-0.0499
32031,0.0929
32510,0.0155
33011,0.0328
33015,0.0392
34001,0.0017
34003,0.0459
34005,0.0555
34007,0.0707
34009,-0.0168
34011,0.0077
34013,-0.0021
34015,0.0279
34017,0.0095
34019,0.0381
34021,0.0495
34023,0.0015
34025,0.0110
34027,0.0716
34029,-0.0430
34031,0.0672
34033,0.0877
34035,0.0419
34037,0.0671
34039,0.0466
34041,0.0318
35001,-0.0092
35005,-0.0523
35006,0.0498
35007,-0.0466
35009,0.0079
35013,0.0613
35015,-0.0340
35017,-0.0609
35019,0.0669
35023,0.1039
35025,0.0228
35027,-0.0732
35028,0.0079
35029,0.0381
35031,-0.0149
35033,-0.0330
35035,-0.0266
35037,-0.0068
35039,-0.0086
35041,0.0753
35043,-0.0186
35045,-0.0101
35047,-0.0030
35049,0.0569
35051,0.0876
35053,-0.0012
35055,-0.0212
35057,-0.0010
35061,0.0354
36001,-0.0548
36007,-0.0130
36013,-0.0361
36027,-0.0522
36029,0.0245
36045,-0.0138
36055,-0.0828
36057,-0.0068
36059,-0.0493
36061,0.0655
36065,-0.0777
36067,-0.0177
36069,-0.0058
36071,0.0126
36079,0.0315
36083,0.0044
36087,-0.0121
36091,0.0662
36093,0.0080
36103,0.0058
36105,-0.0763
36111,-0.0510
36117,-0.0110
36119,-0.0229
37001,0.0288
37003,0.0066
37013,0.0394
37017,0.0195
37019,0.0314
37021,0.0685
37023,-0.0289
37025,0.0264
37027,-0.0084
37031,0.0346
37035,-0.0069
37037,0.0553
37045,0.0329
37047,0.0813
37049,0.0552
37051,0.0559
37055,0.0415
37057,0.0590
37059,0.0636
37061,-0.0274
37063,0.0684
37065,0.0429
37067,0.0039
37069,0.0762
37071,0.0107
37077,0.0032
37079,0.0561
37081,0.0032
37085,0.0938
37087,0.0843
37089,0.1105
37093,0.0858
37097,0.0115
37099,-0.0182
37101,-0.0228
37105,0.0139
37107,-0.0023
37109,0.0942
37111,-0.0137
37113,0.1599
37119,0.0476
37123,0.0614
37125,0.0386
37127,-0.0573
37129,0.0552
37133,-0.0047
37135,-0.0134
37141,-0.0075
37145,0.0512
37147,0.0954
37151,0.1063
37153,0.1462
37155,-0.0095
37157,0.0896
37159,0.0154
37161,0.1002
37163,0.1233
37167,0.0714
37171,0.0245
37179,0.0788
37181,0.1948
37183,0.0780
37191,-0.0053
37193,0.0652
37195,0.0045
37197,0.1152
38017,0.0796
38035,0.0603
39003,0.0134
39007,0.0867
39017,0.0143
39023,-0.0511
39025,-0.0322
39035,0.0331
39039,0.0478
39041,0.1003
39043,0.0505
39045,0.0419
39049,0.0382
39051,0.0410
39057,0.0760
39061,-0.0594
39063,0.0959
39069,0.1297
39077,-0.0113
39085,-0.0056
39089,-0.0494
39093,0.0765
39095,0.0044
39099,0.0649
39103,0.0601
39113,0.0318
39137,-0.0144
39143,-0.0304
39151,0.0048
39153,0.0116
39155,-0.0295
39165,-0.0359
39173,0.0421
40007,0.1610
40009,0.0548
40013,0.0588
