id,f_coh
0504890,-0.0763
0504930,-0.0676
0504980,0.0293
0505410,-0.0323
0505430,0.0651
0505470,-0.1571
0505500,-0.0163
0505550,0.0346
0505580,0.0713
0505680,-0.1292
0505760,-0.0845
0505850,0.0224
0505970,-0.0322
0506060,-0.0214
0506090,-0.1033
0506120,0.0442
0506150,-0.0925
0506210,0.0042
0506240,-0.0324
0506270,0.0049
0506330,0.0387
0506360,0.0413
0506420,0.0608
0506540,0.0453
0506630,0.0183
0506690,0.1162
0506840,0.0804
0506870,-0.0331
0506900,0.0871
0506930,0.0021
0506990,0.0074
0507110,-0.1462
0507170,0.1083
0507230,-0.0352
0507290,0.0000
0507320,0.0628
0507350,-0.0145
0507380,0.0041
0507530,0.0770
0507560,-0.0607
0507620,-0.0530
0507680,-0.0311
0507740,0.0697
0507770,-0.0328
0507840,-0.0667
0507860,-0.0294
0507890,0.0291
0507920,-0.2058
0507990,0.0257
0508040,-0.0782
0508130,-0.0114
0508240,-0.0603
0508280,-0.0324
0508340,-0.1342
0508400,-0.1014
0508610,-0.1028
0508640,-0.0185
0508670,-0.0839
0508700,-0.0035
0508730,-0.0137
0508940,0.0498
0509000,0.0524
0509060,-0.1238
0509150,-0.0442
0509190,0.0699
0509240,-0.1443
0509330,-0.0464
0509360,0.0592
0509390,-0.1533
0509420,0.0824
0509480,-0.0935
0509540,0.0696
0509600,0.0177
0509630,0.0172
0509720,-0.0884
0509750,-0.0419
0509840,-0.0595
0510080,0.0868
0510170,0.0185
0510200,-0.0477
0510260,-0.1545
0510320,-0.0106
0510380,-0.0079
0510440,-0.1167
0510680,-0.0706
0510950,0.0679
0510980,0.0286
0511010,-0.0699
0511070,0.0421
0511130,-0.0750
0511220,-0.0959
0511340,0.0078
0511370,-0.0706
0511610,-0.0590
0511700,0.0509
0511730,0.0528
0511760,-0.1120
0511820,-0.0400
0511850,0.0338
0511880,0.0504
0511970,-0.0153
0512000,-0.0933
0512060,-0.0995
0512090,0.1161
0512210,-0.0404
0512450,-0.0472
0512480,-0.1173
0512510,0.0444
0512520,-0.0641
0512540,-0.0168
0512570,-0.0155
0512630,0.0153
0512660,0.0206
0512960,0.0061
0513080,-0.0291
0513110,0.0095
0513230,0.0060
0513350,-0.1330
0513380,0.0096
0513410,-0.0079
0513530,-0.1061
0513680,0.0110
0513930,-0.0667
0514010,-0.0886
0514020,-0.1902
0514140,0.0416
0514400,-0.1116
0514430,-0.0680
0514490,-0.0037
0600001,0.0239
0600006,0.1053
0600013,0.1014
0600014,-0.0361
0600015,0.1664
0600016,0.0212
0600017,0.0059
0600019,0.2645
0600020,0.1512
0600022,-0.0228
0600025,0.0282
0600026,-0.0296
0600027,-0.0398
0600028,0.0692
0600029,0.0913
0600032,0.1231
0600033,-0.0846
0600034,-0.0719
0600035,-0.0675
0600036,0.0480
0600038,0.1103
0600039,0.0119
0600040,-0.1102
0600043,0.0809
0600044,0.1094
0600045,-0.0153
0600046,0.0790
0600047,0.0136
0600048,0.0258
0600049,0.1748
0600051,0.0541
0600052,-0.0105
0600060,0.0423
0600061,0.0058
0600062,-0.0500
0600063,0.0754
0600064,-0.0314
0600065,0.0262
0600067,0.0189
0600068,0.0113
0600069,-0.0440
0600116,0.0805
0600153,0.1099
0600158,0.0283
0600159,0.0280
0600160,0.0736
0601331,0.0947
