id,w_coh
0507230,-0.0843
0507290,-0.0228
0507320,0.1045
0507350,-0.0372
0507380,0.0073
0507530,-0.0014
0507560,-0.0529
0507620,-0.1029
0507740,0.0682
0507770,-0.0369
0507840,-0.1465
0507860,-0.0165
0507890,0.0210
0507920,-0.1439
0507990,-0.0225
0508040,-0.1324
0508130,-0.0309
0508240,-0.0664
0508280,-0.0126
0508340,-0.1488
0508400,-0.0945
0508490,0.0319
0508610,-0.0965
0508670,-0.0939
0508700,0.0071
0508730,-0.0032
0508940,0.0603
0509000,0.0959
0509060,-0.0802
0509150,-0.0246
0509190,0.0364
0509240,-0.1582
0509270,0.0606
0509330,-0.0104
0509390,-0.1443
0509420,0.0726
0509480,-0.0559
0509540,0.0605
0509570,-0.0440
0509600,0.0576
0509630,-0.0176
0509720,-0.0564
0509750,-0.0569
0509840,-0.0606
0509990,-0.0341
0510080,0.0097
0510170,0.0414
0510200,-0.0693
0510260,-0.1179
0510290,0.1231
0510320,-0.0251
0510380,0.0136
0510410,0.1054
0510440,-0.0863
0510560,0.0980
0510680,-0.0966
0510920,0.0417
0510980,0.0325
0511010,-0.0793
0511070,0.0792
0511130,-0.0886
0511220,-0.0669
0511340,0.0007
0511370,-0.0833
0511610,-0.0640
0511700,0.0237
0511730,0.0238
0511760,-0.1174
0511820,-0.0042
0511850,0.0467
0511880,0.0255
0511970,-0.0028
0512000,-0.0658
0512060,-0.0426
0512090,0.0515
0512180,0.0459
0512210,-0.0172
0512420,0.0267
0512450,-0.0159
0512480,-0.0735
0512510,0.0382
0512520,-0.0868
0512540,-0.0284
0512570,-0.0264
0512630,-0.0113
0512660,0.0296
0512960,-0.0039
0513080,-0.0151
0513110,0.0225
0513230,-0.0002
0513350,-0.0504
0513380,-0.0036
0513410,-0.0084
0513530,-0.0784
0513560,-0.0346
0513680,0.0579
0513930,-0.2113
0514010,-0.0738
0514020,-0.1990
0514040,-0.1001
0514140,0.0456
0514370,0.0191
0514400,-0.1147
0514430,-0.0609
0514490,-0.0206
0600001,0.0278
0600006,0.0897
0600013,0.0727
0600014,-0.0404
0600015,0.1519
0600016,-0.0027
0600017,-0.0178
0600019,0.1378
0600020,0.0885
0600025,0.0035
0600026,-0.0764
0600027,-0.0579
0600028,0.1082
0600029,0.0622
0600032,0.1320
0600033,-0.0541
0600034,-0.0241
0600036,0.0048
0600037,-0.1248
0600038,0.1115
0600043,0.0502
0600044,0.0968
0600045,-0.0090
0600047,-0.0680
0600048,0.0315
0600051,-0.0209
0600052,-0.0374
0600060,0.0584
0600061,-0.0301
0600062,-0.0695
0600063,0.0762
0600064,-0.0189
0600065,-0.1408
0600068,0.0484
0600069,0.0246
0600116,0.0941
0600153,0.0335
0600158,0.0342
0600159,-0.0136
0600160,0.0265
0601331,0.0313
0601332,0.0311
0601409,0.0447
0601620,0.0923
0601680,0.1100
0601710,-0.1614
0601770,0.0527
0601860,0.1395
0601950,-0.0848
0602100,-0.1052
0602160,0.0891
0602430,0.0499
0602450,-0.0491
0602610,-0.0369
0602760,0.1177
0602850,-0.0326
0602970,0.0396
0603000,0.1063
0603060,0.1739
0603300,0.0404
0603420,0.0650
0603480,-0.0455
0603600,-0.0019
0603630,0.0128
0603840,-0.0819
0604020,-0.0674
0604080,0.0188
0604230,-0.0614
0604260,0.1001
0604290,0.0596
0604350,-0.0115
0604380,0.0311
0604440,0.0531
0604530,0.1475
0604620,0.0151
0604650,-0.0066
0604740,-0.0077
0604830,0.1059
0605040,0.0714
0605240,-0.1035
0605280,0.0799
0605580,-0.0437
0605610,0.0080
0605670,0.1503
0605880,0.0437
0605910,0.0982
0606090,0.0790
0606270,0.0373
0606330,0.2444
0606360,-0.0104
0606390,-0.0193
0606450,0.0835
0606480,0.2159
0606570,-0.0546
0606750,0.1192
0606780,-0.0021
0606810,-0.0155
0606870,0.0051
0607140,-0.0069
0607170,-0.1291
0607200,0.0362
0607260,0.0795
0607440,0.1383
0607470,0.0495
0607500,0.1558
0607530,0.1411
0607560,0.0262
0607680,-0.0448
0607740,0.1013
0607800,0.0529
0607900,0.0028
0607950,0.0222
0607970,-0.0227
0607980,0.0068
0608070,-0.0358
0608130,-0.0420
0608190,0.0809
0608250,0.1700
0608370,0.0961
0608460,0.0485
0608520,-0.0222
0608610,0.1069
0608760,0.0906
0608970,0.0347
0609030,0.0399
0609120,0.0226
0609300,0.0700
0609330,-0.1670
0609390,0.0134
0609450,0.0755
0609480,0.0057
0609570,0.1345
0609640,0.0749
0609780,-0.1036
0609850,0.0511
0609870,0.0640
0609940,0.0309
0609990,0.0123
0610050,0.0709
0610260,0.1431
0610290,0.1253
0610320,-0.0919
0610380,0.0192
0610440,0.0788
0610620,0.0806
0610710,0.1446
0610740,0.0940
0610770,-0.0126
0611040,-0.0550
0611110,0.0355
0611220,0.1537
0611280,-0.0106
0611460,0.0785
0611490,0.0317
0611520,0.0406
0611730,0.0656
0611850,0.0616
0611910,-0.0309
0612030,0.0626
0612090,0.1940
0612210,0.1536
0612330,0.0772
0612690,-0.0886
0612750,0.0932
0612810,0.0054
0612840,-0.0459
0612880,0.0231
0612930,0.0189
0612960,0.0595
0613080,0.0942
0613170,-0.0770
0613200,0.0234
0613360,-0.1091
0613470,0.0432
0613500,0.0715
0613800,-0.0120
0613890,0.0422
0613920,-0.0602
0613980,-0.0121
0614010,0.0163
0614070,-0.0222
0614220,0.1006
0614250,0.0283
0614340,0.1528
0614370,0.1006
0614400,0.0572
0614520,0.1389
0614550,-0.0220
0614700,0.0277
0614730,0.0254
0614790,-0.0762
0614880,0.0152
0614950,-0.0128
0615180,0.0963
0615240,0.0131
0615270,0.0689
0615390,0.0206
0615450,-0.0282
0615510,0.0862
0615600,0.1506
0615690,0.1000
0615780,0.0917
0615840,0.1261
0616050,-0.0338
0616300,-0.0141
0616320,-0.0212
0616323,-0.1961
0616325,0.0921
0616470,0.0496
0616570,0.0289
0616620,0.0850
0616650,0.0247
0616740,-0.0306
0616860,-0.0327
0616920,-0.0145
0617040,0.0186
0617160,0.0669
0617190,0.0324
0617220,-0.0908
0617340,0.0215
0617490,0.1387
0617850,-0.0328
0618030,0.1634
0618210,0.1100
0618660,0.1038
0618690,-0.0713
0618730,0.0735
0618780,-0.2087
0618840,-0.0040
0619140,0.0639
0619200,0.0959
0619260,-0.0190
0619320,-0.0803
0619380,0.0734
0619440,-0.0390
0619490,-0.0931
0619590,0.0602
0619620,0.1764
0619700,0.0234
0619770,0.2708
0619800,0.0369
0620040,0.0259
0620070,-0.0332
0620130,0.1157
0620190,-0.0078
0620250,0.0856
0620310,0.1516
0620370,0.1619
0620460,0.1016
0620640,0.0612
0620670,0.0688
0620730,0.0001
0620790,0.0767
0620880,-0.0093
0620910,0.0523
0621000,0.0419
0621090,-0.1032
0621210,0.0380
0621330,0.0472
0621360,0.1545
0621540,0.0615
0621690,0.0713
0621810,-0.0093
0621930,0.0531
0621990,0.1209
0622050,0.1404
0622110,0.0555
0622230,0.0603
0622350,-0.0414
0622380,0.0792
0622410,0.0720
0622500,0.0356
0622560,0.0172
0622590,0.1300
0622650,0.0798
0622710,0.0304
0622740,-0.0501
0622830,0.0848
0623010,0.0711
0623080,0.0151
0623340,-0.0888
0623430,-0.0020
0623530,0.1406
0623610,0.0491
0623800,0.0738
0623940,-0.0402
0623970,0.0858
0624000,0.0056
0624030,-0.0221
0624090,-0.0350
0624180,0.0878
0624300,-0.0317
0624360,-0.0556
0624480,-0.0230
0624540,-0.0033
0624570,0.0892
0624600,-0.0404
0624720,0.0090
0624750,0.0309
0624870,0.1144
0624930,0.1276
0625130,-0.1084
0625190,-0.0490
0625230,-0.1058
0625320,0.0589
0625470,-0.0254
0625500,0.1549
0625530,0.0106
0625690,0.0905
0625740,0.0993
0625770,0.1386
0625800,-0.0193
0625830,0.0912
0625860,0.0416
0625980,0.0281
0626040,0.0291
0626100,0.1534
0626220,0.0215
0626280,0.1838
0626370,0.0483
0626490,0.0320
0626640,-0.0077
0626760,0.1570
0626820,0.0174
0627030,0.0897
0627060,0.1627
0627120,0.1251
0627180,0.0876
0627200,0.0819
0627240,0.0661
0627450,0.1153
0627480,0.0727
0627510,0.1474
0627590,-0.0233
0627690,0.0522
0627720,0.0475
0627780,-0.0486
0627810,0.0328
0627840,0.0781
0627850,0.1026
0627930,0.1227
0628050,-0.0761
0628080,-0.0092
0628140,0.0763
0628250,0.0044
0628270,-0.0374
0628320,0.1042
0628470,-0.0210
0628650,0.0595
0628710,0.0335
0628860,0.0524
0628950,-0.0926
0629100,-0.0465
0629220,-0.0770
0629270,0.0838
0629280,-0.0167
0629370,0.1187
0629430,0.0595
0629490,0.0215
0629540,0.0116
0629550,-0.0181
0629580,-0.0202
0629610,0.1067
0629640,0.0253
0629700,0.0482
0629820,0.0294
0629940,-0.0363
0630030,0.0294
0630180,0.0415
0630230,0.0309
0630250,0.0871
0630330,0.1261
0630360,0.0757
0630450,-0.0793
0630480,-0.0915
0630510,0.0292
0630660,0.1012
0630720,0.0392
0630780,0.0776
0630930,0.0284
0630990,0.0462
0631170,-0.0120
0631180,0.1232
0631290,-0.0386
0631320,-0.0272
0631470,0.2166
0631530,0.1430
0631710,0.0477
0631740,0.0651
0631980,-0.0020
0632040,0.0872
0632070,0.0963
0632130,0.0163
0632160,0.0297
0632310,0.0995
0632370,-0.0123
0632520,-0.0308
0632550,0.0897
0632610,-0.0585
0632640,-0.0557
0632710,0.0755
0632730,-0.1570
0632760,0.0946
0632880,0.0775
0633110,0.0383
0633150,0.0266
0633240,0.0144
0633390,-0.0456
0633480,0.1059
0633600,0.0476
0633660,0.0767
0633840,0.0204
0633860,0.0573
0633900,0.0372
0633930,-0.0954
0634170,-0.0155
0634290,0.1769
0634320,0.1394
0634410,0.1739
0634425,0.0618
0634440,0.0748
0634590,0.0830
0634620,-0.0237
0634710,-0.0679
0634740,0.0406
0634800,0.1621
0634860,0.1812
0634880,0.0306
0634920,0.1221
0635010,0.0434
0635040,-0.0047
0635090,0.0585
0635130,0.0642
0635250,0.0673
0635310,0.1328
0635360,0.0524
0635430,0.0949
0635590,0.0342
0635600,0.0993
0635700,0.1470
0635790,0.0039
0635810,-0.0105
0635830,0.0816
0635880,0.0266
0635910,0.0843
0635970,0.0057
0636180,0.0947
0636270,0.0338
0636360,0.0403
0636600,0.2199
0636780,0.0542
0636800,0.0612
0636805,-0.0797
0636820,0.2165
0636840,0.0089
0636970,-0.0061
0636990,0.0566
0637110,0.0268
0637200,0.0295
0637230,-0.0083
0637290,0.0999
0637320,-0.0925
0637350,0.1733
0637380,0.0737
0637470,0.0153
0637500,0.1442
0637530,0.0680
0637590,0.0331
0637620,0.0181
0637710,0.0233
0637770,0.0143
0637830,0.1571
0637890,-0.1034
0637950,0.0895
0638010,-0.0688
0638220,0.1136
0638250,0.0068
0638340,0.0857
0638460,0.1261
0638550,0.1229
0638670,-0.0479
0638700,0.1346
0638770,0.0732
0638880,0.0673
0638980,-0.0139
0639000,0.0716
0639180,0.0125
0639420,0.0663
0639630,0.0836
0639870,-0.0288
0640150,0.0438
0640200,-0.0042
0640230,0.0184
0640300,0.0403
0640320,0.0964
0640380,-0.0630
0640470,-0.0739
0640590,0.0497
0640680,0.0855
0640980,0.0989
0641040,-0.1081
0641160,0.0939
0641190,-0.0498
0641250,0.0467
0641280,0.0705
0641580,0.1069
0641610,0.1171
0641790,0.0161
0641880,-0.0853
0642000,-0.0007
0642120,0.0119
0642140,0.0522
0642150,0.1532
0642300,0.0469
0642330,-0.0077
0642450,-0.0322
0642510,0.0834
0642560,0.0042
0642710,-0.0766
0642750,-0.0193
0642810,-0.0116
0642930,-0.0616
0643080,0.0151
0643140,0.1497
0643200,-0.0476
0643380,0.0876
0643470,-0.0355
0643560,0.0977
0684500,0.0629
0691012,0.4096
0691029,-0.1191
0691078,0.4210
0691135,0.0060
0691136,0.1393
0900030,0.0954
0900060,-0.1414
0900070,-0.0435
0900090,0.0224
0900120,0.0061
0900150,-0.0504
0900210,-0.0395
0900240,-0.0450
0900270,-0.0695
0900360,0.0422
0900390,-0.0616
0900420,0.0247
0900450,-0.1177
0900510,-0.0138
0900540,-0.0475
0900570,0.0869
0900660,-0.0853
0900690,0.0095
0900700,-0.0968
0900720,0.0477
0900750,0.0035
0900780,0.1192
0900810,0.0620
0900840,0.0496
0900900,0.0765
0900960,0.0797
0900990,-0.0199
0901020,-0.0456
0901050,0.0621
0901080,-0.0227
0901110,0.0193
0901170,0.0340
0901200,0.0556
0901230,-0.0706
0901260,0.0318
0901290,-0.0265
0901320,0.0296
0901350,-0.0321
0901410,-0.0527
0901440,0.0585
0901470,-0.0482
0901500,0.0202
0901530,-0.0052
0901560,-0.0533
0901620,0.0690
0901680,-0.0573
0901710,0.0487
0901740,0.0933
0901770,0.0253
0901800,0.0163
0901860,0.0774
0901920,0.0707
0901950,-0.1519
0902010,-0.1000
0902040,0.1168
0902070,0.0066
0902130,0.0577
0902160,-0.0811
0902190,0.0332
0902220,0.0601
0902280,-0.0265
0902310,-0.0662
0902340,0.0942
0902370,-0.0089
0902400,-0.0474
0902490,0.0319
0902520,-0.0054
0902550,0.0475
0902580,0.0131
0902640,0.0154
0902670,-0.0373
0902700,0.0161
0902730,0.0079
0902760,-0.1193
0902790,-0.0596
0902820,0.0601
0902850,-0.0345
0902880,-0.0006
0902910,-0.0387
0902970,0.0326
0903000,-0.0423
0903030,0.0497
0903060,0.1300
0903090,0.0185
0903120,-0.0688
0903180,0.0237
0903210,-0.0207
0903240,-0.0190
0903270,-0.0172
0903300,-0.0609
0903330,0.0173
0903360,0.0442
0903390,0.1186
0903420,0.1063
0903450,-0.0252
0903480,0.0904
0903510,-0.0017
0903515,0.0271
0903520,0.0072
0903530,0.0227
0903535,-0.0063
0903536,-0.0541
0903537,0.0126
0903538,0.0537
0903539,0.0132
0903540,0.1061
0903810,-0.0195
0903840,-0.0074
0903900,0.0720
0903930,0.1024
0903990,-0.0157
0904050,0.0621
0904080,0.0329
0904110,-0.0258
0904140,0.0692
0904170,0.0714
0904230,-0.0359
0904260,-0.0585
0904290,-0.0009
0904320,0.0553
0904350,0.0361
0904380,0.1015
0904440,-0.1056
0904470,-0.0606
0904500,-0.0085
0904530,-0.0672
0904560,0.0529
0904590,-0.0176
0904620,0.0535
0904680,-0.0818
0904710,0.0478
0904740,-0.0418
0904830,-0.0619
0904860,-0.0255
0904890,0.0189
0904920,0.0077
0904950,0.0725
0904980,0.1758
0905010,-0.0233
0905040,0.0054
0905070,-0.0261
0905100,-0.0221
0905130,-0.1162
0905160,0.0046
0905190,0.1426
0905220,-0.0294
0905250,-0.0419
0905280,-0.0486
0905310,-0.0049
0905370,0.0356
1000080,0.0431
1000170,0.0649
1000180,0.0530
1000190,0.0688
1000200,-0.0080
1000230,-0.0021
1000270,0.0565
1000680,-0.0194
1000790,0.0622
1000810,-0.0371
1001080,-0.0931
1001240,-0.0298
1001300,-0.0127
1001530,-0.0136
1001620,0.0840
1001850,-0.0734
1100030,0.1212
1200030,0.0781
1200060,-0.0069
1200090,-0.0029
1200120,0.0034
1200180,0.0127
1200210,-0.0088
1200240,-0.0382
1200270,0.0185
1200300,-0.0022
1200330,0.0993
1200360,0.0597
1200390,0.0731
1200420,-0.1662
1200450,0.0152
1200480,0.0372
1200510,-0.0008
1200540,0.0528
1200570,-0.0161
1200630,-0.0175
1200660,-0.0354
1200690,0.0136
1200720,0.0324
1200750,0.0283
1200780,-0.0343
1200810,0.0329
1200840,0.0353
1200870,0.0290
1200900,-0.0145
1200930,0.0075
1200960,0.0131
1201020,0.0079
1201050,0.0012
1201080,0.0358
1201110,0.0657
1201140,-0.0260
1201170,0.0267
1201200,0.0479
1201230,0.0715
1201260,-0.0357
1201290,-0.0275
1201320,-0.0183
1201350,0.0463
1201410,0.0180
1201440,0.0321
1201470,0.0434
1201500,0.0369
1201530,0.0472
1201560,0.0449
1201590,0.0422
1201620,-0.0234
1201650,0.0039
1201680,0.0814
1201710,-0.0123
1201740,0.0863
1201770,0.0196
1201800,0.0552
1201830,0.0000
1201860,-0.0041
1201890,0.0672
1201920,0.0166
1201950,-0.0072
1201980,0.0439
1202010,0.0197
1202012,0.1345
1202015,-0.0049
1300001,0.0344
1300060,-0.0899
1300090,0.0798
1300120,0.0269
1300150,0.0832
1300210,-0.0170
1300240,0.0321
1300290,0.0843
1300330,0.0268
1300360,0.1102
1300390,0.1838
1300420,0.0542
1300440,0.0396
1300480,0.0710
1300510,0.0821
1300540,0.0305
1300570,0.0469
1300600,0.1509
1300630,0.0911
1300660,0.0063
1300690,0.0233
1300720,-0.0422
1300780,0.0480
1300810,0.0557
1300840,0.0898
1300870,0.0088
1300900,0.1212
1300930,0.0698
1300990,0.1314
1301020,0.0916
1301050,0.0038
1301080,0.0412
1301110,0.0301
1301140,0.1224
1301170,0.0618
1301230,-0.0791
1301260,-0.0767
1301290,0.0777
1301350,0.0683
1301380,-0.0293
1301410,0.0866
1301440,0.0188
1301470,0.0343
1301500,0.0849
1301530,-0.0235
1301560,-0.0787
1301590,0.0920
1301620,-0.0839
1301650,0.0792
1301680,0.0917
1301710,0.0055
1301740,0.0289
1301770,0.0092
1301830,0.0274
1301860,0.1041
1301890,0.0088
1301920,0.0218
1301950,0.0921
1301980,0.0740
1302010,0.0366
1302040,0.0021
1302070,-0.0069
1302100,0.0695
1302130,0.0440
1302190,-0.0056
1302220,0.0754
1302250,0.0310
1302280,0.0529
1302310,-0.0577
1302340,0.0574
1302370,0.1051
1302400,0.0695
1302430,0.0444
1302460,-0.0180
1302490,0.3682
1302520,0.0397
1302550,0.0453
1302580,0.0667
1302610,0.0814
1302670,0.0641
1302700,0.0978
1302730,0.0053
1302790,0.1649
1302820,0.0423
1302880,0.0010
1302910,-0.0242
1302940,0.0204
1302970,0.0055
1303000,-0.0384
1303030,0.0374
1303060,-0.1273
1303090,-0.0480
1303120,-0.0237
1303150,0.0669
1303210,0.0214
1303240,-0.0113
1303270,0.0935
1303300,0.0295
1303330,0.0377
1303360,0.0176
1303390,0.0770
1303420,0.1036
1303480,0.1326
1303510,0.1581
1303540,0.0652
1303570,0.0642
1303600,0.0917
1303630,-0.0163
1303660,-0.0160
1303690,-0.0185
1303720,0.0452
1303750,-0.0869
1303780,-0.0150
1303840,0.0068
1303870,0.1007
1303930,0.0827
1303960,0.0356
1303990,0.0438
1304020,0.0961
1304050,0.0682
1304080,-0.0220
1304110,-0.0512
1304140,0.0264
1304170,0.0137
1304200,0.0233
1304220,0.0297
1304260,0.0622
1304320,0.0675
1304380,0.0597
1304410,0.0033
1304440,0.0021
1304470,0.0661
1304500,-0.0438
1304530,0.0530
1304540,0.0930
