id,b_grd
18177,0.9025
19013,0.9635
19045,0.7700
19049,0.8334
19057,0.6429
19061,0.7955
19103,0.8777
19113,0.8015
19153,0.9017
19155,0.8623
19163,0.7688
19169,0.9586
19187,0.7552
19193,0.8941
20045,0.8479
20061,0.6950
20091,0.9445
20103,0.9348
20125,0.9721
20155,0.8014
20161,0.9619
20169,0.8025
20173,0.8007
20177,0.8730
20209,0.7665
21009,0.9376
21015,0.8050
21017,0.6952
21021,0.6359
21037,0.8977
21047,0.7291
21049,0.9376
21059,0.7261
21067,0.7207
21073,0.8433
21075,0.8787
21083,0.8266
21093,0.9063
21101,0.8381
21107,0.8544
21111,0.8451
21113,0.8447
21117,0.7240
21141,0.8812
21145,0.7432
21151,0.9631
21179,0.9199
21185,0.9646
21209,0.7692
21211,0.7909
21213,0.8991
21225,0.8781
21227,0.9452
22001,0.7869
22003,0.7626
22005,1.0721
22007,1.0478
22009,0.7625
22011,0.7305
22013,1.0504
22015,0.8951
22017,0.8507
22019,0.8273
22021,0.8803
22025,0.6584
22027,0.7810
22029,0.8987
22031,1.0659
22033,0.9325
22035,0.8452
22037,0.9863
22039,0.8915
22041,0.8501
22043,0.9069
22045,0.8688
22047,0.7740
22049,0.8014
22051,0.9402
22053,0.6849
22055,0.9479
22057,0.9225
22061,0.9350
22063,0.9618
22065,0.7793
22067,0.7782
22069,1.0772
22071,1.0776
22073,0.7049
22075,0.9855
22077,0.9197
22079,0.8242
22081,0.7684
22083,0.9972
22085,0.9066
22087,0.9180
22089,1.0442
22091,0.9817
22093,0.7530
22095,0.9831
22097,0.9152
22099,0.8264
22101,0.8151
22103,0.9181
22105,0.9154
22107,0.7876
22109,0.8402
22111,1.0262
22113,0.9111
22115,0.9121
22117,0.7675
22119,0.9286
22121,0.9642
22123,0.9117
22125,0.8710
22127,0.9821
23001,0.8324
23005,1.0227
23031,0.8479
24001,0.8957
24003,0.7515
24005,0.7423
24009,0.8789
24011,1.0098
24013,1.0420
24015,0.8297
24017,0.9375
24019,0.8349
24021,0.9315
24025,1.0060
24027,0.9000
24029,0.7202
24031,0.9369
24033,0.8693
24035,0.8630
24037,0.9113
24039,0.9179
24041,0.8436
24043,0.8631
24045,0.7972
24047,0.8718
24510,0.6274
25001,0.7680
25003,0.8082
25005,0.7555
25009,0.9623
25013,0.7411
25015,0.8750
25017,0.9555
25021,0.8957
25023,0.9598
25025,0.9522
25027,0.8996
26017,0.8399
26021,0.8452
26025,0.7806
26027,0.8383
26045,0.9624
26049,0.9236
26065,0.6997
26075,0.8740
26077,0.8922
26081,0.8494
26091,0.9850
26099,0.8938
26107,0.7491
26115,0.9354
26121,0.8702
26125,0.8669
26139,0.8890
