id,p_grd
0504170,0.8158
0504200,0.7624
0504350,0.8799
0504370,0.7563
0504380,0.8188
0504410,0.9058
0504560,0.9287
0504590,0.8146
0504680,0.9275
0504740,0.7968
0504800,0.8347
0504860,0.6250
0504890,0.6527
0504930,0.8279
0504980,0.8750
0505170,0.8127
0505190,1.0827
0505340,0.9278
0505410,0.8060
0505430,0.6980
0505470,0.7663
0505500,0.8078
0505550,0.9210
0505580,0.8937
0505680,0.8810
0505760,0.9670
0505850,0.6675
0505970,0.8623
0506060,0.8008
0506090,0.8039
0506120,0.9907
0506150,0.8595
0506210,0.7347
0506240,0.9292
0506270,0.7379
0506330,0.9541
0506360,0.8244
0506420,0.8881
0506540,1.1348
0506630,0.7922
0506690,0.8299
0506840,1.1604
0506870,0.8595
0506900,1.0219
0506930,0.7617
0506990,0.9535
0507110,0.8239
0507140,0.8721
0507170,0.8316
0507230,0.7417
0507290,0.8750
0507320,0.9655
0507350,0.7125
0507380,0.7472
0507530,0.9693
0507560,0.8497
0507620,0.5839
0507680,0.8368
0507710,0.7633
0507740,0.8309
0507770,0.7974
0507840,0.8600
0507860,0.9305
0507890,0.7915
0507920,0.8464
0507990,0.7839
0508010,0.8035
0508040,0.6834
0508130,1.0360
0508240,0.8064
0508280,0.8265
0508340,0.7128
0508400,0.7073
0508490,0.7572
0508610,0.7283
0508640,0.8807
0508670,0.7388
0508700,0.8742
0508730,0.8100
0508940,0.8516
0509000,0.9205
0509060,0.9326
0509150,0.8859
0509190,0.8900
0509240,0.8277
0509270,0.9004
0509330,0.9594
0509360,1.0026
0509390,0.7618
0509420,0.9994
0509480,0.8898
0509510,0.6315
0509540,0.9246
0509570,0.9571
0509600,0.9112
0509630,0.7606
0509720,0.7366
0509750,0.8539
0509780,0.8810
0509840,0.9182
0509990,0.8618
0510080,0.7079
0510170,0.9537
0510200,0.9183
0510260,0.9437
0510290,1.0572
0510320,0.9234
0510380,0.8330
0510410,0.8593
0510440,0.7359
0510560,0.8780
0510680,0.7424
0510920,0.7838
0510950,0.9070
0510980,0.8401
0511010,0.8813
0511070,0.8170
0511130,0.8501
0511220,0.6638
0511340,0.8708
0511370,0.7208
0511610,0.8252
0511700,0.7169
0511730,0.9169
0511760,0.8595
0511820,0.7189
0511850,0.7446
0511880,0.9229
0511970,0.8931
0512000,0.6905
0512060,0.7907
0512090,0.8049
0512210,1.0022
0512420,0.8015
0512450,0.9778
0512480,0.7742
0512510,0.8801
0512520,0.6125
0512540,0.8066
0512570,0.8757
0512630,0.7197
0512660,0.9519
0512930,0.8921
0512960,0.8762
0513080,0.9186
0513110,0.6635
0513230,0.8454
0513350,1.0030
0513380,0.8791
0513410,1.0106
0513530,0.8192
0513560,0.6985
0513680,0.9630
0513930,0.7349
0514010,0.9500
0514020,0.8846
0514040,0.8864
0514140,0.9456
0514430,0.8206
0514490,0.8877
0600001,0.8471
0600006,1.1031
0600013,1.1267
0600014,0.8496
0600015,1.0692
0600016,0.9179
0600017,0.8609
0600019,0.9936
0600020,1.1740
0600022,0.7950
0600026,0.8250
0600027,0.8568
0600028,0.9939
0600029,0.9951
0600032,0.9711
0600033,0.8330
0600034,0.9523
0600035,0.9502
0600036,1.0308
0600039,1.0925
0600040,0.7487
0600043,0.9806
0600044,1.0261
0600045,0.9434
0600046,0.9916
0600047,0.9881
0600048,0.9696
0600049,1.1436
0600051,0.8716
0600052,0.9993
0600060,0.9758
0600061,1.0165
0600062,0.8420
0600063,0.9639
0600064,0.8376
0600065,0.8081
0600067,1.0508
0600068,0.9804
0600069,1.0195
0600116,0.8189
0600153,1.0843
0600158,1.0195
0600159,0.9096
0600160,0.9897
0601331,1.1825
0601332,0.9052
0601339,1.1877
0601409,1.1023
0601410,1.0486
0601415,0.8737
0601418,1.0156
0601620,1.1039
0601710,0.7422
0601770,0.9557
0601860,1.1078
0601950,1.0240
0602010,0.9071
0602100,0.8634
0602160,0.9173
0602220,0.9945
0602310,0.9470
0602360,0.9353
0602430,0.9885
0602450,0.9964
0602610,0.9051
0602730,1.1620
0602760,1.1036
0602850,0.9230
0602970,1.1050
0603000,1.1810
0603060,1.2398
0603090,1.0775
0603180,0.9342
0603270,1.0098
0603300,1.0523
0603420,0.9148
0603480,1.0643
0603600,0.9375
0603630,0.9267
0603690,0.9316
0603750,0.9925
0603840,0.7176
0603870,1.0541
0604020,0.8849
0604080,1.0046
0604110,1.0522
0604200,1.1289
0604230,0.9970
0604260,1.1628
0604290,0.9101
0604350,1.0129
0604380,1.0885
0604440,0.9268
0604530,0.9933
0604620,0.9190
0604740,1.0384
0604800,0.9852
0605040,0.9989
0605240,0.9022
0605580,1.0775
0605610,0.8962
0605670,1.1413
0605700,1.0653
0605790,0.9416
0605880,1.0221
0605910,1.1441
0606030,0.9796
0606090,1.0913
0606270,1.0243
0606330,1.2215
0606360,0.9238
0606390,0.9841
0606450,0.8970
0606480,1.1760
0606570,0.7849
0606720,0.9382
0606750,0.9252
0606780,1.0433
0606810,1.0307
0606870,1.0745
0606900,1.0339
0606990,0.8221
0607020,1.0201
0607140,1.0217
0607170,0.9851
0607200,0.8973
0607440,1.1373
0607500,1.0156
0607530,1.0674
0607560,0.8846
0607680,0.9537
0607740,1.0349
0607800,0.9510
0607900,0.8744
0607950,0.9585
0607970,0.8653
0607980,0.9413
0608070,0.9209
0608130,0.8917
0608190,0.9210
0608250,1.0958
0608370,1.1364
0608460,0.9952
0608520,0.9098
0608580,1.2908
0608610,1.1430
0608760,1.0023
0608970,0.9965
0609030,0.9605
0609070,0.9079
0609120,0.8897
0609390,0.9277
0609450,1.0797
0609480,1.0348
0609570,1.0977
0609620,0.7079
0609640,1.0580
0609690,0.7369
0609780,0.8766
0609850,0.9812
0609940,0.9423
0609990,0.9387
0610050,1.0046
0610260,0.9956
0610290,1.0811
0610320,0.6989
0610350,0.7739
0610440,1.3459
0610620,1.1013
0610740,1.1655
0610770,0.9360
0610890,0.9852
0611040,0.8608
0611110,0.9079
0611130,1.0819
0611220,1.0395
0611280,1.1595
0611460,0.9862
0611490,0.9628
0611520,0.9566
0611730,0.9898
0611760,0.9812
0611850,0.9324
0611910,0.9865
0611940,1.1995
0612030,0.9768
0612090,1.1704
0612180,1.0486
0612210,1.0025
0612330,0.9956
0612600,0.8928
0612630,0.7679
0612690,1.0174
0612750,1.2266
0612810,0.9748
0612840,1.0952
0612880,1.0507
0612930,0.9480
0612960,1.0666
0613080,1.1733
0613140,0.9790
0613170,0.9011
0613200,0.9247
0613290,0.9394
0613360,0.8692
0613470,0.9675
0613500,1.0944
0613800,0.9296
0613840,0.7914
0613890,0.9901
0613920,0.8786
0614070,1.0525
0614220,1.1007
0614250,1.0232
0614370,1.0065
0614400,1.0685
0614550,0.8590
0614700,0.9828
0614730,0.9586
0614790,0.9749
0614880,1.1145
0614940,1.1817
0614950,0.8694
0615090,0.9408
0615180,1.0576
0615240,0.9803
0615270,0.9378
0615510,1.0309
0615600,1.0316
0615780,1.1019
0616050,0.9357
0616080,0.9579
0616260,0.9592
0616300,1.0656
0616323,1.0337
0616325,0.9747
0616470,1.0944
0616570,0.9688
0616650,1.0693
0616680,0.9300
0616740,1.1053
0616830,1.0844
0616860,1.0543
0616920,0.8369
0617160,1.1249
0617220,0.9937
0617340,1.0311
0617430,1.1695
0617490,1.0183
0617850,1.0988
0618030,1.0410
0618210,1.1482
0618390,0.7524
0618690,0.9438
0618730,1.0969
0618840,1.1385
0618870,1.0714
0618990,1.0944
0619140,1.1344
0619260,0.9059
0619320,0.8910
0619440,1.0342
0619490,0.9665
0619590,0.7952
0619620,0.9140
0619680,0.9127
0619700,1.1288
0619740,1.1845
0619770,1.1268
0619800,1.0334
0619890,0.9623
0619950,0.8659
0620070,0.8876
0620190,0.8103
0620250,1.0992
0620370,1.1280
0620460,0.9845
0620640,0.9952
0620670,1.1140
0620730,1.0265
0620760,1.2139
0620790,1.0060
0620850,0.9063
0620880,1.0443
0621000,0.9518
0621150,1.0351
0621210,0.9829
0621240,1.0395
0621330,1.0161
0621360,1.1510
0621420,0.8742
0621450,0.9409
0621690,1.0914
0621810,1.0123
0621870,1.2091
0621930,0.9825
0621990,1.1058
0622050,1.1453
0622110,0.8732
0622170,0.8032
0622230,1.0489
0622410,1.0739
0622500,0.9392
0622560,1.0060
0622590,1.0752
0622650,1.2199
0622710,0.8702
0622740,0.8895
0622860,0.8524
0622890,0.8132
0622950,0.8245
0623010,1.0304
0623040,0.7991
0623080,1.0037
0623130,1.0922
0623160,0.8474
0623340,0.8766
0623430,0.8958
0623530,1.0833
0623610,1.0278
0623800,1.1941
0623940,0.9782
0623970,0.9862
0624000,1.1506
0624030,0.8231
0624090,0.8156
0624180,1.0151
0624230,0.9796
0624300,0.9137
0624360,1.0759
0624390,1.0042
0624500,1.2151
0624540,0.9441
0624600,0.9110
0624720,1.2266
0624750,1.2078
0624900,0.9613
0625130,0.9161
0625190,0.9154
0625230,0.9172
0625320,1.0237
0625350,0.8347
0625470,0.9439
0625530,1.0552
0625690,0.9437
0625770,0.9553
0625800,0.9024
0625830,1.0213
0625860,1.0178
0625980,0.9015
0626040,1.0620
0626100,1.0227
0626190,0.8920
0626220,0.8189
0626280,1.0772
0626370,0.9184
0626400,1.0630
0626490,0.7678
0626640,0.9817
0626670,1.0322
0626760,1.0837
0626820,0.9382
0626910,0.9171
0626970,1.0123
0627030,0.8566
0627060,1.1014
0627180,1.0998
0627200,1.0048
0627240,1.0370
0627450,0.8857
0627480,1.1103
0627590,1.1607
0627690,0.9045
0627720,0.9670
0627780,0.9766
0627810,1.0263
0627840,0.9914
0627900,0.9248
0628050,0.8466
0628080,0.8391
0628140,1.0477
0628170,1.1102
0628250,1.0355
0628270,0.9887
0628320,1.0769
0628470,0.9376
0628530,0.9385
0628650,1.0410
0628680,1.3020
0628710,1.0915
0628950,0.6302
0629100,0.9999
0629220,0.8759
0629280,0.9780
0629370,0.9165
0629400,0.4996
0629430,1.2066
0629490,1.0730
0629540,0.9676
0629550,0.8226
0629580,0.9738
0629610,1.1399
0629640,0.9117
0629670,0.9477
0629820,0.9461
0629850,0.9891
0629910,0.8841
0629940,0.7033
0630030,0.8656
0630180,1.1050
0630230,1.0518
0630360,1.1343
0630450,1.0737
0630510,0.8997
0630600,0.9153
0630630,0.9884
0630660,1.0838
0630720,1.1611
0630780,0.9156
0630840,0.9288
0630930,0.8961
0630990,1.0246
0631050,0.9142
0631170,0.8989
0631180,0.9281
0631290,0.8672
0631320,0.9898
0631350,0.8970
0631530,0.9755
0631680,0.9588
0631710,1.0302
0631860,0.8409
0631980,0.8338
0632040,1.0087
0632070,0.9369
0632130,0.9821
0632270,1.0958
0632310,1.0943
0632370,0.8024
0632430,0.9288
0632550,0.9127
0632610,0.8224
0632640,0.9246
0632710,1.1208
0632730,0.8206
0632760,1.0621
0632880,1.1301
0633110,0.9238
0633150,1.0110
0633240,1.0124
0633270,0.7787
0633390,0.8630
0633480,1.0170
0633510,1.1159
0633570,1.2023
0633600,0.9460
0633750,1.0782
0633840,1.0079
0633860,1.0821
0633900,1.0479
0633930,1.0764
0634170,1.0226
0634230,0.8983
0634320,0.9698
0634410,0.9846
0634425,1.0106
0634440,0.9476
0634590,0.8750
0634620,0.9162
0634680,0.8671
0634710,1.0204
0634740,0.9644
0634800,1.0670
0634880,0.9151
0634920,1.0419
0635010,1.0732
0635070,0.9504
0635090,0.9447
0635130,1.0390
0635220,0.9108
0635250,0.9686
0635310,0.8727
0635360,1.0239
0635430,0.9150
0635700,0.9581
0635730,1.0179
0635790,0.9578
0635810,1.0164
0635880,1.0064
0635970,1.1293
0636000,0.7674
0636030,1.3084
0636180,0.9556
0636210,1.1843
0636270,0.9904
0636330,1.0652
0636670,1.0511
0636800,0.8482
0636805,0.9492
0636820,1.0949
0636840,0.8818
0636970,1.1396
0636990,0.9494
0637050,0.8741
0637110,0.9903
0637200,1.1668
0637230,0.9578
0637290,1.0744
0637320,1.0721
0637350,1.2689
0637380,1.3258
0637470,1.0580
0637500,1.1731
0637530,0.9811
0637560,0.8896
0637590,0.9281
0637620,0.9922
0637830,0.9936
0637890,0.7472
0637950,1.0169
0638010,1.0394
0638130,0.8343
0638220,1.1555
0638250,0.8984
0638340,0.9587
0638430,0.9510
0638460,0.9953
0638550,1.0992
0638640,0.8514
0638670,0.9274
0638700,0.9675
0638770,1.1254
0638880,0.9285
0638980,1.1019
0639000,1.0493
0639060,0.9217
0639180,0.8735
0639300,1.0640
0639420,1.0389
0639600,0.8542
0639630,1.0493
0639870,0.9315
0639940,1.0339
0640150,1.1059
0640300,1.0771
0640320,1.0100
0640470,0.8418
0640590,0.9714
0640650,1.0388
0640680,1.0167
0640740,0.8409
0640980,1.0337
0641040,0.7723
0641130,1.0965
0641160,1.1576
0641190,0.9632
0641250,1.0687
0641280,1.0541
0641400,0.9594
0641460,1.1117
0641580,0.9598
0641820,1.3467
0641880,0.8569
0641980,0.8625
0642000,0.8828
0642060,1.0566
0642120,1.0543
0642140,1.0307
0642150,1.1441
0642180,1.1188
0642210,0.9628
0642330,0.9814
0642450,0.9843
0642540,0.8293
0642560,0.9818
0642710,1.0125
0642810,0.9203
0642930,0.9749
0642960,1.0297
0642990,1.0717
0643020,0.9970
0643080,1.0403
0643170,0.6959
0643200,0.9589
0643380,1.0752
0643470,0.9270
0643560,1.0939
0684500,1.1922
0691012,1.1494
0691021,0.6882
0691026,0.5703
0691029,0.3239
0691031,0.9466
0691035,0.8886
0691045,0.8200
0691078,1.0090
0691134,0.9292
0691135,0.8330
0691136,1.3146
0801950,0.9374
0802070,0.8521
0802340,0.8905
0802490,0.9115
0802580,0.7153
0802790,0.7827
0802910,0.8979
0803060,0.8243
0803360,0.9707
0803450,0.9127
0803480,0.8243
0803540,0.8539
0803780,0.8791
0803870,0.8682
0803990,0.9006
0804020,1.0641
0804050,0.8395
0804080,0.7398
0804350,0.9184
0804410,0.7733
0804530,0.8656
0804800,0.8722
0805310,0.8828
0805370,0.8745
0805400,0.7988
0805550,0.8240
0805790,0.9131
0806120,0.6202
0806150,0.8198
0806480,0.9473
0806900,0.9293
0807230,0.8332
0900060,0.8060
0900070,0.9712
0900210,0.9086
0900270,0.8643
0900330,0.9392
0900420,0.9431
0900450,0.9139
0900510,1.0367
0900570,0.9607
0900700,0.7050
0900750,1.0613
0900810,1.0128
0900840,1.0916
0900960,1.0168
0900990,0.9924
0901020,0.8411
0901110,0.9364
0901260,0.8582
0901290,0.8979
0901320,0.9661
0901350,1.0794
0901470,0.8019
0901530,0.9917
0901560,0.9603
0901620,1.0082
0901710,1.0014
0901740,1.0112
0901770,0.9583
0901800,1.1650
0901860,0.9289
0901920,0.8405
0902070,0.9994
0902160,0.8521
0902310,0.7414
0902340,0.8612
0902400,0.8005
0902490,0.7848
0902520,0.9123
0902550,0.7987
0902580,0.8999
0902640,0.8877
0902670,0.8637
0902790,0.9517
0902820,0.8323
0902850,0.9075
0902880,0.8481
0902910,1.0351
0902970,0.9278
0903030,0.9403
0903090,0.8339
0903120,0.8820
0903270,0.9058
0903300,0.8648
0903330,0.8266
0903390,1.0631
0903450,0.8852
0903480,0.9388
0903537,0.8235
0903538,1.1486
0903840,0.9290
0903990,0.9722
0904050,1.0205
0904110,0.8740
0904170,1.0791
0904230,0.8560
0904290,1.0901
0904320,0.9030
0904380,0.9691
0904440,0.7876
0904530,0.6994
0904590,0.8213
0904620,1.0266
0904680,0.8499
0904740,0.9363
0904830,0.6569
0904860,0.8405
0904890,1.0266
0904920,0.9712
0904950,0.9173
0905070,1.0198
0905160,1.0132
0905190,0.7781
0905220,0.9792
0905250,0.8212
0905280,0.9112
1000080,0.9966
1000170,1.0646
1000180,0.8043
1000190,0.7949
1000200,0.7164
1000230,0.8542
1000270,1.0711
1000680,0.8282
1000790,0.9095
1000810,0.8825
1001080,0.7098
1001240,0.8650
1001300,0.9080
1001530,0.8436
1001620,0.8038
1001850,0.5228
1100030,0.9821
1200030,0.7258
1200060,0.7373
1200090,0.7806
1200120,0.7236
1200150,0.8681
1200180,0.8297
1200210,0.7537
1200240,0.7308
1200270,0.8143
1200300,0.8009
1200330,0.9348
1200360,0.6880
1200390,0.8331
1200420,0.6224
1200450,0.8318
1200480,0.8102
1200510,0.7016
1200540,0.8734
1200570,0.8330
1200600,0.6791
1200630,0.8951
1200660,0.7671
1200690,0.8274
1200720,0.7614
1200750,0.5774
1200780,0.6691
1200810,0.8127
1200840,0.7788
1200870,0.7953
1200900,0.7869
1200930,0.7644
1200960,0.7372
1200990,0.7130
1201020,0.9274
1201050,0.7760
1201080,0.7999
1201110,0.7635
1201140,0.8550
1201170,0.9164
1201200,0.6492
1201230,0.8567
1201260,0.6948
1201290,0.8447
1201320,0.8121
1201350,0.7609
1201380,0.8407
1201410,0.7729
1201440,0.8321
1201470,0.8148
1201500,0.8763
1201530,0.8705
1201560,0.7733
1201590,0.7530
1201620,0.6796
1201650,0.7569
1201680,0.8631
1201710,0.7981
1201740,0.8740
1201770,0.8396
1201800,0.7636
1201830,0.7279
1201860,0.8157
1201890,0.7716
1201920,0.7500
1201950,0.7851
1201980,0.7935
1202010,0.7482
1202012,1.0210
1202014,0.7911
1300001,0.8489
1300060,0.8424
1300090,0.8512
1300120,0.8038
1300150,0.8689
1300180,0.9673
1300210,0.8447
1300240,0.9789
1300290,0.9142
1300330,0.8034
1300360,0.9143
1300390,0.9168
1300420,0.8827
1300440,0.8538
1300480,1.0303
1300510,0.9233
1300540,0.8056
1300570,0.8423
1300600,1.0330
1300630,0.9385
1300660,0.8431
1300690,1.0302
1300720,0.9337
1300750,0.8319
1300780,0.8908
1300810,0.8651
1300840,0.8402
1300870,0.8640
1300900,0.9284
1300930,0.9573
1300990,1.0279
1301020,0.8179
1301050,0.6243
1301080,0.8847
1301110,0.9483
1301140,1.0980
1301170,0.8981
