id,w_coh
13201,-0.0120
13205,-0.0153
13207,0.0440
13209,-0.0821
13211,-0.0145
13213,0.0062
13215,0.1014
13217,0.0829
13219,0.0348
13221,0.0462
13223,0.0967
13225,0.0698
13227,-0.0511
13229,0.0278
13231,0.0134
13233,0.0250
13235,0.0300
13237,0.0598
13241,0.0674
13245,0.0568
13247,0.0030
13249,0.0643
13251,-0.0417
13253,0.0529
13255,0.0400
13257,-0.0545
13261,-0.0573
13267,0.1027
13269,-0.0062
13271,0.0886
13275,0.0010
13277,0.0013
13279,-0.0181
13281,0.0367
13283,-0.0041
13285,0.0346
13287,0.0409
13289,0.0933
13291,0.1001
13293,0.0471
13295,0.0266
13297,0.0992
13299,0.0936
13303,-0.0225
13305,0.0822
13309,0.1207
13311,0.0079
13313,0.0430
13315,0.0563
13317,0.1220
13319,0.0100
13321,-0.0400
15003,0.0712
16001,0.0440
16003,-0.0813
16005,0.0329
16007,0.0163
16009,-0.0721
16011,-0.0599
16013,-0.0332
16015,0.0104
16017,-0.0287
16019,-0.0177
16021,-0.0170
16023,0.1027
16027,-0.0099
16029,-0.0079
16031,-0.0257
16035,0.0295
16037,-0.0550
16039,0.0014
16041,0.0489
16043,-0.0217
16045,-0.0704
16047,-0.0626
16049,0.0319
16051,-0.0639
16053,-0.0907
16055,0.0545
16057,0.0478
16059,-0.0578
16061,0.0214
16063,0.1164
16065,0.0053
16067,0.0499
16069,0.0220
16071,-0.0764
16073,-0.0703
16075,-0.0360
16077,-0.0321
16079,0.0340
16081,0.0724
16083,-0.0106
16085,0.0587
16087,0.0175
17001,-0.0528
17003,-0.0661
17005,-0.0097
17007,-0.0377
17009,-0.0305
17011,-0.0477
17013,-0.0258
17015,-0.0031
17017,-0.0675
17019,-0.0360
17021,-0.0749
17023,-0.0905
17025,-0.1504
17027,0.0409
17029,-0.1082
17031,0.0520
17033,0.0263
17035,-0.1214
17037,0.0161
17039,-0.1280
17041,-0.1129
17043,0.0260
17045,-0.0367
17047,0.0178
17049,-0.0122
17051,-0.0130
17053,0.0727
17055,-0.0418
17057,-0.0437
17059,-0.0133
17061,-0.0377
17063,-0.0075
17065,0.0134
17067,-0.0015
17069,-0.0152
17071,-0.0891
17073,-0.0102
17075,-0.0161
17077,-0.0324
17079,-0.1190
17081,0.0207
17083,0.0370
17085,0.0137
17087,-0.0658
17089,0.0104
17091,-0.0202
17093,0.0630
17095,-0.1085
17097,0.0199
17099,-0.0428
17101,-0.0804
17103,-0.0356
17105,-0.0669
17107,-0.0392
17109,-0.1118
17111,0.0377
17113,-0.0635
17115,-0.0727
17117,-0.0053
17119,-0.0183
17121,0.0087
17123,-0.1065
17125,-0.0464
17127,0.0417
17129,-0.0203
17131,0.0146
17133,0.0851
17135,0.0069
17137,-0.0481
17139,0.0138
17141,-0.0109
17143,-0.0485
17145,-0.0189
17147,0.0298
17149,-0.0327
17151,0.0309
17153,-0.0406
17155,-0.1423
17157,-0.0144
17159,-0.0950
17161,-0.0683
17163,0.0021
17165,-0.0530
17167,-0.0365
17169,-0.0284
17171,0.0436
17173,-0.0413
17175,0.0086
17177,-0.0636
17179,-0.0091
17181,0.0283
17183,-0.0192
17185,-0.0672
17187,0.0023
17189,-0.0575
17191,-0.1221
17193,-0.0382
17195,-0.0414
17197,0.0501
17199,-0.0225
17201,0.0296
17203,-0.0108
18001,0.0482
18003,0.0690
18005,0.1483
18007,0.0939
18009,0.1573
18011,0.0623
18013,0.0965
18015,0.0330
18017,0.0207
18019,0.0440
18021,0.1293
18023,0.0145
18025,0.1279
18027,0.0974
18029,0.0662
18031,0.0632
18033,0.0572
18035,0.1163
18037,0.1164
18039,0.1042
18041,0.0573
18043,0.0454
18045,0.0920
18047,0.0618
18049,-0.0051
18051,0.0171
18053,0.0611
18055,0.1296
18057,0.0481
18059,0.0807
18061,0.1215
18063,0.1345
18065,0.0608
18067,0.0095
18069,0.0626
18071,0.0709
18073,0.0753
18075,0.1170
18077,-0.0146
18079,0.1372
18081,0.0997
18083,0.1081
18085,0.0742
18087,0.0787
18089,0.0903
18091,0.0393
18093,0.0385
18095,0.0791
18097,0.0560
18099,0.0790
18101,0.0745
18103,0.0335
18105,0.1383
18107,0.0482
18109,0.0636
18111,0.0291
18113,0.0695
18115,-0.0361
18117,-0.0240
18119,0.1011
18121,-0.0118
18123,0.1445
18125,-0.0153
18127,0.0574
18129,0.1148
18131,0.0727
18133,0.0874
18135,0.1103
18137,0.1528
18139,0.0960
18141,0.0728
18143,0.1371
18145,0.1407
18147,0.0767
18149,0.0457
18151,0.1174
18153,0.1186
18155,0.0451
18157,0.0861
18159,0.0712
18161,0.1011
18163,0.1874
18165,0.1546
18167,0.0259
18169,0.0508
18171,0.1627
18173,0.1346
18175,0.0851
18177,0.0057
18179,0.0299
18181,0.0936
18183,0.0545
19001,-0.0100
19003,0.0332
19005,0.0275
19007,0.0712
19009,0.0476
19011,0.1120
19013,0.0511
19015,0.0720
19017,0.0337
19019,0.1315
19021,-0.0048
19023,0.0369
19025,0.0035
19027,0.0374
19029,0.0556
19031,0.0011
19033,0.0499
19035,0.0455
19037,0.0324
19039,0.0672
19041,0.0756
19043,0.0561
19045,0.0641
19047,0.0236
19049,0.0805
19051,-0.0390
19053,0.0479
19055,0.0765
19057,0.0409
19059,-0.0031
19061,0.0005
19063,-0.0184
19065,0.0075
19067,-0.0295
19069,0.0209
19071,0.0433
19073,-0.0290
19075,0.0625
19077,0.1166
19079,0.0598
19081,0.1103
19083,0.0491
19085,0.0160
19087,0.0797
19089,-0.0189
19091,0.1092
19093,0.0426
19095,-0.0302
19097,0.0687
19099,0.0994
19101,0.0400
19103,0.0719
19105,-0.0079
19107,0.0711
19109,0.0137
19111,0.0132
19113,0.0192
19115,0.0977
19117,-0.0463
19119,-0.0179
19121,0.1095
19123,-0.0317
19125,0.0328
19127,0.1172
19129,0.0660
19131,0.0456
19133,-0.0251
19135,0.0599
19137,0.0652
19139,-0.0975
19141,0.0403
19143,0.0978
19145,0.0840
19147,-0.0192
19149,0.0988
19151,0.0780
19153,0.1009
19155,0.0324
19157,0.0822
19159,0.0179
19161,0.0634
19163,0.0431
19165,-0.0359
19167,0.0376
19169,0.0732
19171,0.0619
19173,0.0724
19175,0.0053
19177,-0.0121
19179,0.0279
19181,0.1277
19183,0.0489
19185,0.0005
19187,-0.0334
19189,0.0233
19191,0.0642
19193,0.0701
19195,0.0750
19197,0.0650
20001,-0.1157
20003,0.0601
20005,-0.1095
20007,-0.0701
20009,-0.1718
20011,-0.0248
20013,-0.0065
20015,-0.0153
20017,0.0344
20019,-0.0669
20021,-0.0561
20023,-0.0552
20025,-0.1749
20027,-0.1465
20029,-0.1161
20031,0.0973
20035,-0.0612
20037,0.0059
20039,-0.0418
20041,-0.0586
20043,-0.0251
20045,0.0260
20049,0.1673
20051,-0.1060
20053,-0.0697
20055,-0.0961
20057,-0.0713
20059,-0.0650
20061,-0.0818
20063,0.0588
20065,-0.2247
20067,-0.1234
20069,-0.0277
20073,-0.0688
20077,-0.0590
20079,-0.0878
20081,0.0114
20085,0.0134
20087,-0.0778
20091,0.0168
20093,0.0161
20095,0.0117
20097,0.2323
20099,-0.0591
20103,-0.0065
20105,-0.0104
20107,-0.0305
20109,-0.0641
20111,-0.0221
20113,-0.0557
20115,-0.0248
20117,-0.0647
20119,-0.1070
20121,-0.0337
20123,-0.0489
20125,-0.0071
20127,-0.0365
20129,0.0432
20131,-0.0307
20133,0.0050
20137,0.0322
20139,-0.0132
20141,0.0276
20143,-0.0476
20145,-0.0514
20147,-0.0795
20149,-0.0296
20151,-0.1101
20153,-0.0209
20155,-0.0674
20157,-0.0341
20159,0.0045
20161,0.0810
20163,-0.1663
20165,0.0264
20167,-0.0851
20169,-0.0559
20171,-0.0153
20173,0.0123
20175,-0.0273
20177,-0.0015
20179,0.0294
20181,0.1239
20183,-0.0834
20185,-0.0313
20189,-0.1409
20191,-0.0508
20193,-0.0304
20195,-0.0212
20197,-0.0077
20201,-0.1884
20205,-0.1354
20207,-0.1443
20209,-0.0426
21001,-0.0273
21003,0.0362
21005,0.0176
21007,-0.0065
21009,0.0113
21011,0.0696
21013,-0.0697
21015,0.0205
21017,0.0152
21019,0.0574
21021,0.0389
21023,-0.0013
21025,-0.2155
21027,0.0720
21029,0.0347
21031,-0.0570
21033,0.0101
21035,0.1358
21037,0.0619
21039,0.0569
21041,-0.0475
21043,0.1011
21045,0.1281
21047,0.0085
21049,0.1096
21051,0.0517
21053,-0.0117
21055,0.0296
21057,0.1291
21059,-0.0242
21061,0.1189
21063,0.0834
21065,-0.0601
21067,-0.0225
21069,0.0803
21071,0.0865
21073,0.0158
21075,0.0076
21077,-0.0375
21079,-0.0064
21081,0.0019
21083,-0.0312
21085,0.0239
21087,0.0052
21089,0.1203
21091,-0.0882
21093,0.0891
21095,0.0620
21097,-0.0343
21099,-0.0714
21101,0.0537
21103,-0.0214
21105,0.0466
21107,0.1164
21109,-0.0326
21111,0.1065
21113,0.0427
21115,0.0103
21117,0.0967
21119,0.0742
21121,0.0241
21123,0.0677
21125,0.0909
21127,0.0558
21129,0.1657
21131,-0.0205
21133,0.0996
21135,-0.0070
21137,-0.0247
21139,0.0534
21141,0.0446
21143,0.0197
21145,0.0976
21147,-0.0356
21149,-0.0540
21151,0.0167
21153,-0.0333
21155,0.0499
21157,0.0381
21159,-0.0128
21161,-0.0129
21163,0.0531
21165,-0.0005
21167,0.0563
21169,0.0401
21171,-0.0235
21173,0.2141
21175,0.0562
21177,0.0037
21179,0.0940
21181,0.0671
21183,-0.0404
21185,0.0273
21187,0.0153
21189,-0.1108
21191,-0.0956
21193,0.0208
21195,0.0122
21197,0.0513
21199,0.0468
21201,0.0798
21203,-0.0591
21205,0.0551
21207,-0.0173
21209,0.0616
21211,0.0017
21213,-0.0166
21215,0.1856
21217,-0.0341
21219,-0.0096
21221,-0.0830
21223,0.0244
21225,-0.0554
21227,0.0717
21229,0.0505
21231,-0.0929
21233,-0.0002
21235,0.0151
21237,0.0173
21239,0.0725
22001,0.0984
22003,-0.0011
22005,0.1149
22007,0.0997
22009,0.0393
22011,-0.0278
22013,0.0448
22015,0.0550
22017,-0.0074
22019,-0.0299
22021,-0.0025
22023,0.0545
22025,-0.0518
22027,-0.0139
