id,h_avg
16081,-2.4664
16083,-1.1571
16087,-0.7950
17007,-1.1465
17011,-1.7108
17017,-2.1165
17019,-1.4096
17027,-0.8004
17031,-0.8810
17037,-1.1675
17041,-1.6053
17043,-0.6735
17063,-0.1243
17073,-0.7876
17075,-0.4547
17077,-1.4549
17089,-1.2480
17091,-1.0445
17093,-0.4985
17095,-0.5924
17097,-1.1692
17099,-0.9842
17103,-1.4235
17105,-0.6692
17111,-1.0568
17113,-0.9524
17115,-0.5833
17119,-1.0730
17141,-1.0619
17143,-0.8870
17161,-1.4241
17163,0.2105
17167,-0.4098
17177,-1.5589
17179,-0.4027
17181,-1.3260
17183,-1.1142
17187,-1.2734
17195,-0.6043
17197,-0.5606
17199,-0.5627
17201,-1.2640
17203,-0.3573
18001,0.0096
18003,-0.4280
18005,-1.1256
18011,0.9373
18017,-0.9753
18019,-0.6507
18023,-1.2478
18027,-0.6829
18035,-0.1042
18037,-0.5829
18039,-0.9689
18043,-0.1634
18053,-1.0562
18057,0.3631
18059,0.0930
18063,0.6589
18067,-0.5028
18071,-0.9501
18073,-0.0668
18081,-0.0727
18085,-0.5099
18087,-1.0596
18089,-0.3454
18091,0.1516
18095,-1.1261
18097,-0.8085
18099,-0.2515
18105,0.3048
18107,-0.5224
18109,-0.1174
18113,-0.7101
18127,0.4451
18135,-0.4527
18141,-0.8372
18145,-0.0443
18149,-1.4237
18151,-0.9382
18157,-0.3810
18163,-1.0771
18167,0.2436
18173,0.2822
18177,-0.5557
18181,-0.5930
19005,-1.4547
19013,-1.4137
19021,-1.1421
19033,-0.5283
19039,-1.0031
19045,-0.5710
19047,-0.9235
19049,-0.9049
19057,-0.1769
19061,-0.5424
19063,-1.5809
19069,-1.2941
19079,-0.7172
19087,-0.6204
19103,-1.5474
19111,-0.4419
19113,-0.4738
19115,-1.9096
19127,-1.7335
19139,-0.9885
19141,-0.7264
19149,-0.6460
19153,-1.3778
19155,-1.1654
19163,-0.7308
19167,-1.1012
19169,-0.1409
19171,-1.5669
19179,-1.5344
19181,-0.0789
19183,-1.1814
19187,-1.7815
19193,-1.2770
19197,-1.0883
20009,-0.5847
20015,0.3320
20035,-0.4012
20037,-0.8215
20045,-0.0629
20051,-0.4529
20055,-0.8860
20057,-0.9901
20059,-0.5243
20061,-0.0789
20067,-1.4518
20069,-0.2941
20075,-1.0776
20079,-0.3111
20081,-0.8495
20091,-0.0690
20093,-0.6355
20099,0.3426
20103,0.0548
20111,-0.7250
20113,-0.7583
20125,-0.7382
20155,-0.4764
20159,0.0203
20161,0.1691
20169,-0.6645
20171,-0.4028
20173,-1.2700
20175,-1.1147
20177,-1.1942
20181,-0.5744
20187,-1.0238
20189,-0.9694
20191,-0.0510
20203,-0.8399
20209,-1.6041
21009,-0.1212
21015,-0.7089
21017,-0.2809
21021,-0.2601
21029,-0.3620
21037,-0.2299
21047,-0.1903
21049,-0.2827
21059,-0.2175
21067,-0.6399
21073,-0.6494
21083,-0.0474
21093,-0.3035
21107,-0.4343
21111,-0.7925
21113,-0.7603
21117,-0.6961
21145,-0.0802
21151,-0.5072
21179,-1.0212
21183,-0.7280
21185,-0.4245
21199,0.2507
21209,-0.5852
21211,-0.9186
21227,-0.7059
21233,-1.0431
21239,-0.9391
22005,-0.9251
22015,-1.3085
22017,-1.0451
22019,-0.7520
22033,-1.4431
22045,-1.1710
22051,-1.2267
22055,-0.6432
22057,-0.9029
22061,-1.1584
22063,-0.5069
22071,-0.9179
22073,-0.6658
22075,0.4182
22079,-0.7969
22087,-0.4425
22089,0.2218
22095,-0.4295
22097,-0.8347
22101,-0.6408
22103,-0.3784
22105,-1.2132
22109,-0.8898
22111,-1.5174
22113,-1.1271
22115,0.0858
23001,-0.7360
23005,-0.4671
23011,-0.4789
23019,-0.2280
23031,-0.0567
24003,-0.1187
24005,-0.4343
